index,SMILES,PubChem_CID,xtb_optimized,error,xyz_file,MW,ExactMW,LogP,MolMR,TPSA,HBD,HBA,RotBonds,ArRings,ArHetRings,AlRings,Rings,Heteroatoms,FractionCSP3,BertzCT,Chi0v,Chi1v,Kappa1,Kappa2,LabuteASA,NumStereocenters,n_CHO,gasteiger_CHO_C,gasteiger_CHO_O,gasteiger_maxpos,gasteiger_minneg,xtb_energy,xtb_HOMO,xtb_LUMO,xtb_gap,xtb_IP,xtb_EA,xtb_mu,xtb_eta,xtb_omega,xtb_dipole,mulliken_CHO_C,mulliken_CHO_O,fukui_plus_CHO_C,fukui_minus_CHO_C,fukui_0_CHO_C,dual_descriptor_CHO_C,wbo_CO,xtb_alpha0,xtb_C6,pa_CHO_O,vbur_CHO_C,sterimol_L,sterimol_B1,sterimol_B5,SASA_total,P_int,wfn_HOMO,wfn_LUMO,wfn_gap,adch_CHO_C,adch_CHO_O,adch_fukui_plus_CHO_C,adch_fukui_minus_CHO_C,adch_fukui_minus_CHO_O,qtaim_rho_CO,qtaim_lap_CO,qtaim_ell_CO
79877,C1C(CN1C(=O)C2=C(C=CC(=C2)C=O)F)NC3=NN=CC=C3,117955816,True,,/scratch-local/schen3.23693487/sdesc_23693487_000/xyz/000000_79877.xyz,300.293,300.102254,1.3647,77.1337,75.19,1,5,4,2,1,1,3,7,0.2,701.943565,11.569118,6.753899,14.121806,5.884979,125.513402,0,1,0.149577,-0.297896,0.256496,-0.362274,-63.251407365888,-9.4757,-8.5,0.9757,7.4368,1.1945,-4.31565,3.12115,2.983649,2.564,0.208749,-0.318126,0.039156,0.004723,0.02194,0.034433,1.886084,196.7517,16095.69,51.9254,43.4169,13.1807,1.9486,6.1627,496.0485,19.2881,-9.475742,-8.499986,0.975756,0.126344,-0.339024,0.073591,0.03559,0.081124,0.400973,-0.032224,0.160819
52233,C1=CC(=C(C(=C1)F)CF)C=O,84650302,True,,/scratch-local/schen3.23693487/sdesc_23693487_000/xyz/000001_52233.xyz,156.131,156.038671,2.1077,36.5995,17.07,0,1,2,1,0,0,1,3,0.125,270.79461,5.680685,3.078191,7.852564,3.232891,62.65388,0,1,0.150029,-0.297882,0.150029,-0.297882,-33.68646861262,-11.2264,-8.4722,2.7542,9.3321,0.6724,-5.00225,4.32985,2.889535,3.402,0.209652,-0.319746,0.053313,0.013254,0.033284,0.040059,1.888824,93.8852,3675.89,37.5332,48.8737,6.8368,1.823,4.4278,306.9385,16.7758,-11.226414,-8.472234,2.75418,0.109208,-0.301956,0.127396,0.049847,0.201504,0.400156,-0.02535,0.1571
169564,C([C@H](C(=O)[C@H](C=O)O)O)O,129668275,True,,/scratch-local/schen3.23693487/sdesc_23693487_000/xyz/000002_169564.xyz,148.114,148.037173,-2.5315,30.1704,94.83,3,5,4,0,0,0,0,5,0.6,132.0,5.097295,2.591384,9.22,4.102461,56.904765,2,1,0.15572,-0.299951,0.211722,-0.393199,-35.052294889521,-11.2824,-8.2992,2.9832,9.1748,0.1825,-4.67865,4.49615,2.434279,4.376,0.201323,-0.295581,0.062928,0.00228,0.032604,0.060648,1.925606,80.9884,3074.34,31.1514,52.8891,4.9038,1.827,5.3029,300.0242,15.3973,-11.282391,-8.299249,2.983142,0.039396,-0.260624,0.165984,0.068124,0.104299,0.404929,-0.006699,0.151999
46082,C1=CC(=NC=C1C=O)CF,57367266,True,,/scratch-local/schen3.23693487/sdesc_23693487_000/xyz/000003_46082.xyz,139.129,139.043342,1.3636,34.4365,29.96,0,2,2,1,1,0,1,3,0.142857,219.552645,5.249934,2.826356,6.864286,3.055571,57.707993,0,1,0.151099,-0.297835,0.151099,-0.297835,-29.733173470718,-10.706,-8.4557,2.2503,8.8189,0.6512,-4.73505,4.08385,2.745044,2.127,0.207681,-0.320729,0.053246,0.008571,0.030909,0.044675,1.883978,88.9242,3277.73,37.2421,43.2643,8.1966,1.8658,3.246,300.9089,16.4155,-10.706008,-8.455669,2.250339,0.107587,-0.307726,0.1002,0.043345,0.158176,0.400467,-0.019567,0.163449
44261,C1=CC(=C(C=C1Cl)OCF)C=O,53956927,True,,/scratch-local/schen3.23693487/sdesc_23693487_000/xyz/000004_44261.xyz,188.585,188.004035,2.4583,43.4425,26.3,0,2,3,1,0,0,1,4,0.125,288.386391,6.844862,3.589418,9.001659,4.06607,73.905156,0,1,0.153281,-0.297746,0.228147,-0.462128,-37.583760418139,-11.0813,-8.2707,2.8106,8.9123,0.6704,-4.79135,4.12095,2.785406,3.049,0.209363,-0.326855,0.050198,0.00951,0.029854,0.040688,1.869096,111.0609,5116.36,46.8837,45.3306,8.1082,1.8143,5.4775,343.2587,17.4337,-11.081342,-8.270736,2.810606,0.137074,-0.372436,0.100959,0.02313,0.207283,0.400168,-0.069475,0.160472
280552,C1=CC=C(C=C1)S(=O)CC=O,15397472,True,,/scratch-local/schen3.23693487/sdesc_23693487_000/xyz/000005_280552.xyz,168.217,168.0245,0.9931,43.7814,34.14,0,2,3,1,0,0,1,3,0.125,256.054385,6.71245,4.533032,8.139602,4.031137,67.697064,1,1,0.132335,-0.302354,0.132335,-0.302354,-32.520742719144,-10.9267,-7.7141,3.2126,8.6069,0.3134,-4.46015,4.14675,2.398618,5.012,0.211208,-0.322766,0.048137,0.001008,0.024573,0.047129,1.897542,117.6129,5494.15,45.0224,43.6749,9.0219,1.7,4.1952,340.7385,17.8922,-10.926693,-7.714059,3.212634,0.062104,-0.303815,0.167027,0.255196,0.048237,0.402764,-0.026373,0.164937
172293,C[C@]12CCC[C@]([C@@H]1[C@H]([C@@]([C@@H]2CC(=O)C3=COC=C3)(C)C=O)O)(C)C(=O)OC,132584533,True,,/scratch-local/schen3.23693487/sdesc_23693487_000/xyz/000006_172293.xyz,376.449,376.188589,3.034,96.8943,93.81,1,6,5,1,1,2,3,6,0.666667,739.862795,16.358334,9.430903,19.80174,6.585142,158.810431,6,1,0.128278,-0.302665,0.311414,-0.471851,-83.667467420727,-10.3272,-7.4691,2.8581,7.6339,0.2007,-3.9173,3.7166,2.064419,7.76,0.231505,-0.319574,0.016419,0.001492,0.008955,0.014927,1.931901,251.6777,28334.78,79.5779,63.4836,8.0223,3.0582,8.0982,566.5677,19.2092,-10.327166,-7.469085,2.858081,0.119355,-0.30649,0.021224,0.026927,0.093432,0.405023,0.001441,0.12935
66533,C1[C@H]([C@@]1(C=O)F)C2=CC(=C(C=C2)Br)Br,88462299,True,,/scratch-local/schen3.23693487/sdesc_23693487_000/xyz/000007_66533.xyz,321.971,319.884767,3.6061,59.103,17.07,0,1,2,1,0,1,2,4,0.3,393.70843,10.307993,5.754506,10.302961,3.417543,97.947493,2,1,0.157372,-0.299763,0.172932,-0.299763,-41.89860694428,-11.2153,-8.1639,3.0514,8.6317,0.8168,-4.72425,3.90745,2.855896,3.119,0.197138,-0.322607,0.055747,0.005297,0.030522,0.05045,1.880116,149.3326,9078.33,34.0944,46.6164,9.7855,1.9518,6.0687,402.2617,19.3904,-11.215311,-8.163917,3.051394,0.076112,-0.315808,0.097393,0.031816,0.109336,0.403086,-0.076757,0.171194
223479,C1=CC(=CC(=C1)F)C2=NN=C3N2C(=CC=C3)C=O,117141168,True,,/scratch-local/schen3.23693487/sdesc_23693487_000/xyz/000008_223479.xyz,241.225,241.06514,2.3479,63.7685,47.26,0,3,2,3,2,0,3,5,0.0,735.934491,9.246656,5.346778,10.584948,4.030246,101.706407,0,1,0.166426,-0.296224,0.168547,-0.296224,-49.453876154813,-10.4202,-8.9219,1.4983,8.1784,1.4335,-4.80595,3.37245,3.424388,4.786,0.200608,-0.32456,0.040282,0.00321,0.021746,0.037072,1.849586,161.8493,10448.43,40.1352,52.5013,6.7596,2.2811,6.8841,404.4603,19.2485,-10.420176,-8.921916,1.49826,0.100026,-0.307391,0.053845,0.019885,0.063609,0.398405,-0.024377,0.188581
233086,COC1=NC(=C(C(=C1)I)C(F)F)C=O,130085765,True,,/scratch-local/schen3.23693487/sdesc_23693487_000/xyz/000009_233086.xyz,313.041,312.941133,2.4449,53.8505,39.19,0,3,3,1,1,0,1,6,0.25,357.43967,9.287153,4.654156,11.2857,4.62708,92.613854,0,1,0.168611,-0.296141,0.266577,-0.480942,-44.499929410277,-11.4659,-9.1805,2.2854,8.9972,1.5226,-5.2599,3.7373,3.701409,6.548,0.206183,-0.307481,0.053983,0.008582,0.031283,0.045401,1.897693,137.3602,7672.85,25.8838,45.2566,7.4548,2.2891,5.7387,379.7195,19.0068,-11.465909,-9.180533,2.285376,0.106554,-0.295212,0.100684,0.035936,0.127312,0.40123,0.003027,0.141554
