index,SMILES,PubChem_CID,xtb_optimized,error,xyz_file,MW,ExactMW,LogP,MolMR,TPSA,HBD,HBA,RotBonds,ArRings,ArHetRings,AlRings,Rings,Heteroatoms,FractionCSP3,BertzCT,Chi0v,Chi1v,Kappa1,Kappa2,LabuteASA,NumStereocenters,n_CHO,gasteiger_CHO_C,gasteiger_CHO_O,gasteiger_maxpos,gasteiger_minneg,xtb_energy,xtb_HOMO,xtb_LUMO,xtb_gap,xtb_IP,xtb_EA,xtb_mu,xtb_eta,xtb_omega,xtb_dipole,mulliken_CHO_C,mulliken_CHO_O,fukui_plus_CHO_C,fukui_minus_CHO_C,fukui_0_CHO_C,dual_descriptor_CHO_C,wbo_CO,xtb_alpha0,xtb_C6,pa_CHO_O,vbur_CHO_C,sterimol_L,sterimol_B1,sterimol_B5,SASA_total,P_int,wfn_HOMO,wfn_LUMO,wfn_gap,adch_CHO_C,adch_CHO_O,adch_fukui_plus_CHO_C,adch_fukui_minus_CHO_C,adch_fukui_minus_CHO_O,qtaim_rho_CO,qtaim_lap_CO,qtaim_ell_CO
28976,C(=C=C=O)C=O,14795057,True,,/scratch-local/schen3.23697405/desc_23697353_0/xyz/000000_28976.xyz,82.058,82.005479,-0.2718,19.8405,34.14,0,2,1,0,0,0,0,2,0.0,113.509775,2.971197,1.311835,4.9,3.9,34.777916,0,1,0.150781,-0.297849,0.176689,-0.297849,-17.595752742395,-10.8453,-9.7063,1.139,9.3506,1.4445,-5.39755,3.95305,3.684945,3.485,0.211366,-0.297624,0.041726,0.023752,0.032739,0.017974,1.900469,50.4212,1058.54,27.1168,39.5086,4.5323,1.7,5.0292,231.0481,14.6375,-10.845334,-9.706288,1.139046,0.110351,-0.284682,0.083421,0.052841,0.187357,0.400779,0.019842,0.15707
140849,C(C/C(=C/C=C(N)N)/N)C(CN=CC(=NN)C=O)F,173855079,True,,/scratch-local/schen3.23697405/desc_23697353_0/xyz/000001_140849.xyz,270.312,270.160437,-0.7095,73.9036,145.87,4,7,8,0,0,0,0,8,0.363636,397.989591,10.498113,5.534262,16.62,9.629781,110.456867,1,1,0.171291,-0.296024,0.179427,-0.402035,-59.453357392656,-8.9285,-7.81,1.1185,6.4202,0.1155,-3.26785,3.15235,1.693791,9.404,0.19912,-0.351216,0.038822,0.001992,0.020407,0.03683,1.826873,183.1586,14329.9,71.638,44.2596,12.0259,1.7997,5.8994,482.2575,18.452,-8.928517,-7.80997,1.118547,0.089132,-0.339535,0.074221,0.017481,0.061472,0.397343,-0.08273,0.17427
168946,C1CCC2(CC1)O[C@@H]3[C@H]([C@H](O[C@@H]3O2)C=O)N=[N+]=[N-],122221741,True,,/scratch-local/schen3.23697405/desc_23697353_0/xyz/000002_168946.xyz,253.258,253.106256,1.6649,59.433,93.52,0,5,2,0,0,3,3,7,0.909091,389.749564,9.896919,6.285399,11.922863,4.512099,104.007059,4,1,0.148921,-0.30045,0.188053,-0.340729,-56.209988113915,-11.118,-8.0686,3.0494,8.396,-0.1238,-4.1361,4.2599,2.007949,4.159,0.208944,-0.28525,0.082034,-0.001476,0.040279,0.08351,1.955128,152.0627,10837.06,28.1001,49.7997,9.5815,2.9507,5.3323,427.4365,17.8996,-11.117978,-8.068633,3.049345,0.095425,-0.283343,0.1402,0.011899,0.077538,0.407491,-0.001901,0.157953
286863,C1C2=CC(C=CC2=CC3=C1OCO3)(C=O)C(=O)C4=CN=CN4,18769042,True,,/scratch-local/schen3.23697405/desc_23697353_0/xyz/000003_286863.xyz,296.282,296.079707,1.8199,75.4012,81.28,1,5,3,1,1,3,4,6,0.1875,783.077631,11.535872,6.830339,12.820947,4.556748,125.378688,1,1,0.141202,-0.301538,0.230307,-0.457609,-62.433466025285,-9.6239,-8.2733,1.3506,6.9218,1.2141,-4.06795,2.85385,2.899279,3.708,0.213265,-0.344414,0.027507,0.00138,0.014443,0.026127,1.857819,195.7161,15832.4,85.1679,55.7626,8.8598,3.058,7.3565,480.4279,19.3951,-9.623875,-8.273286,1.350589,0.109229,-0.310078,0.043015,0.006011,0.04545,0.3982,-0.041605,0.136328
291080,C1COC(CN1)C(C=O)N,19834989,True,,/scratch-local/schen3.23697405/desc_23697353_0/xyz/000004_291080.xyz,144.174,144.089878,-1.499,36.6491,64.35,2,4,2,0,0,1,1,4,0.833333,112.315444,5.747218,3.375435,7.654712,3.65339,59.722951,2,1,0.138891,-0.301532,0.138891,-0.373491,-32.898764663322,-9.8108,-7.529,2.2818,7.8752,-1.6143,-3.13045,4.74475,1.032691,2.113,0.203588,-0.318468,0.166235,-0.000381,0.082927,0.166616,1.929855,94.9714,4105.88,44.0254,48.473,6.712,1.91,5.5041,313.2081,15.805,-9.810806,-7.529022,2.281784,0.101987,-0.312936,0.26926,0.021295,0.069028,0.403526,0.004943,0.137556
161989,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CCCNC(=NCCC[C@@H](C=O)N)N)O)O)N,154700551,True,,/scratch-local/schen3.23697405/desc_23697353_0/xyz/000005_161989.xyz,435.489,435.23425,-1.9814,112.6585,212.81,6,10,10,2,2,1,3,13,0.611111,905.282806,17.040485,10.112828,22.807152,10.436279,178.257951,5,1,0.136177,-0.301643,0.21082,-0.387517,-95.948180530677,-9.6754,-7.0437,2.6317,6.6501,0.021,-3.33555,3.31455,1.678342,6.722,0.199421,-0.328619,0.057345,0.002744,0.030045,0.054601,1.919621,285.0613,35961.6,49.7337,46.808,8.163,2.7261,11.7834,668.0263,19.7343,-9.67545,-7.043734,2.631716,0.094382,-0.314049,0.09478,0.010489,0.054955,0.402025,0.000388,0.140476
59887,C1CC(CN(C1=O)C([C@H](CC=O)N)N2CCC3=C(C2)N=C(S3)C(F)(F)F)(F)F,87527185,True,,/scratch-local/schen3.23697405/desc_23697353_0/xyz/000006_59887.xyz,426.411,426.114888,2.0201,89.5684,79.53,1,6,5,1,1,2,3,12,0.6875,753.883328,15.531853,9.496314,21.058591,7.635832,161.034279,2,1,0.121171,-0.303336,0.442618,-0.324427,-90.731527031923,-10.3674,-8.1373,2.2301,7.8406,0.9269,-4.38375,3.45685,2.779592,4.381,0.214081,-0.324211,0.043794,-0.001382,0.021206,0.045176,1.912104,237.3445,25391.32,58.4279,61.4546,6.3664,1.92,11.4723,571.6844,19.434,-10.367389,-8.137293,2.230096,-0.332766,-0.150185,-0.001632,-0.06486,0.093728,0.403998,0.002851,0.156605
140725,C1C(=C(NC(=N1)C2=NC=CS2)CC(CO)(C=O)O)C(=CC=NC(F)F)N,173809696,True,,/scratch-local/schen3.23697405/desc_23697353_0/xyz/000007_140725.xyz,385.396,385.102017,0.1954,93.1627,133.19,4,9,8,1,1,1,2,11,0.333333,761.341223,14.287762,8.266395,19.819867,8.738185,151.047141,1,1,0.153842,-0.300032,0.33135,-0.398352,-80.2679703881,-10.0588,-8.0136,2.0452,7.3365,1.1415,-4.239,3.0975,2.900585,5.29,0.201081,-0.313226,0.029613,-0.005714,0.01195,0.035327,1.927164,237.8161,23951.69,70.3389,61.4284,9.5585,2.4439,6.6857,554.177,19.9438,-10.058781,-8.01356,2.045221,0.181162,-0.341289,0.158706,0.124348,-0.016478,0.403988,-0.010958,0.146064
169289,C1C=CC=CS1=CC=O,129629693,True,,/scratch-local/schen3.23697405/desc_23697353_0/xyz/000008_169289.xyz,140.207,140.029586,1.3399,42.866,17.07,0,1,1,0,0,1,1,2,0.142857,189.092832,5.804202,4.257523,6.489474,3.406177,57.000256,1,1,0.148143,-0.29801,0.148143,-0.29801,-26.238426683946,-9.546,-8.2314,1.3146,7.6885,0.5853,-4.1369,3.5516,2.409328,8.958,0.191497,-0.434812,0.012143,0.006317,0.00923,0.005826,1.669886,104.0891,4236.81,84.5488,41.0391,7.5446,2.1593,4.8525,313.3296,17.4348,-9.545997,-8.231361,1.314636,0.076463,-0.428392,-0.075349,0.217232,0.154269,0.391854,-0.278757,0.200853
285662,C1[C@H]2[C@@H]([C@@H](S1)CCCC(=S)C=O)NC(=O)N2,18632490,True,,/scratch-local/schen3.23697405/desc_23697353_0/xyz/000009_285662.xyz,258.368,258.04967,0.8909,68.0024,58.2,2,4,5,0,0,2,2,6,0.7,321.94089,10.403815,6.828073,11.853492,5.139856,103.916727,3,1,0.156234,-0.297327,0.314936,-0.332478,-49.028274734903,-10.2491,-9.709,0.5401,7.6188,1.829,-4.7239,2.8949,3.854232,2.893,0.204338,-0.298809,0.031733,0.001623,0.016678,0.03011,1.891282,169.5419,12134.44,45.6071,47.3287,6.8514,1.7369,8.9395,444.5667,18.7374,-10.24912,-9.708994,0.540126,-0.036642,-0.272389,-0.030872,-0.279433,0.075972,0.400214,0.00336,0.150073
