index,aldehyde_smiles,PubChem_CID
703,CCCN(CCC1=CC=CS1)C2CCC3=C(C2)C4=C(C=C3)NC=C4C=O,10406614
1098,C1C[C@@H]([C@H](C1)O)[C@@H](CCCCC(=N)N)C=O,6323178
8714,CCCCN(C)C[C@@H]1[C@H]2CCCC[C@@H]2C[C@@H](O1)CN[C@@H](CC3=CN=CN3)C=O,154732794
15988,C[C@@H]1CCC2C1CC3(C4CC2(C3(C(=C4)C(C)C)C(=O)O)C=O)CCOC(=O)C5=CC(=NN5)C(=O)O,5275592
16037,C[C@H]([C@H]1[C@@H](O1)C[C@H]2CO[C@H]([C@@H]([C@@H]2O)O)C/C(=C/C3=NC=C(O3)C=O)/C)[C@H](C)O,10596850
16757,C1OC2=C(O1)C=C(C=C2)C3=CC4=C(O3)C=CC(=C4)CCCOC(=O)CCCCCCCC=O,56669636
16792,C1=CC=C(C=C1)C2=NC(C(=O)N(C3=CC=CC=C32)CC=O)NC(=O)CCC4=CNC5=CC=CC=C54,57398001
17832,CN/C(=C\[N+](=O)[O-])/NCCSCC1=CSC(=N1)C=O,171115102
17837,C(CCC=O)CCNC1=NC(=C(N=C1Cl)C(=O)N=C(N)N)N,171115214
18617,C[C@@H](C1=CC2=C(C=C1)[C@@H]3C[C@H]4[C@@]5(O4)CC=CC(=O)[C@@]5([C@H]3CC2)C)[C@@H](C[C@@](C)([C@](C)(C=O)O)O)O,163106436
20633,C1=CC=C(C=C1)COC2=C(C(=CC=C2)OCC3=CC=CC=C3)C=O,11726890
23604,C1=C(C(=CC(=C1OC(F)F)OC(F)F)[N+](=O)[O-])C=O,170915486
23676,CCCCCC(C(CC=O)SCC(C(=O)[O-])[NH3+])O,90657989
23779,C=CC1=C(N[C@H](SC1)[C@@H](C=O)NC(=O)/C(=N\OCC(=O)O)/C2=CSC(=N2)N)C(=O)O,138857431
25286,C=CCC(CC=C)(C=O)C1=CC=C(C=C1)C(F)(F)F,176434193
25789,CC(C)CC(=O)C1=C(C(=C(C(=C1O)C=O)O)C[C@@H]2CC[C@@]([C@H]3[C@]2(CC[C@H](C3)C(=C)C)C)(C)O)O,172453541
29960,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC(=O)[C@H]([C@H]([C@@H]([C@H](C=O)O)O)O)O)O[C@H]3[C@H](C=C4)O,20627175
33788,C(=O)[C@@]([C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)C(=O)O)O)O)O)([C@H]([C@@H]([C@@H](C(=O)O)O)O)O)O,129642561
45617,C(C1=NC(NC(N1CC(F)(F)F)(N)N(CC(F)(F)F)COCO)C=O)O,57083388
49224,CC1=C(NC2=C1C(=O)N(CCC2)CCN(C)C)/C=C\3/C4=CC(=CC(=C4NC3=O)CC=O)F,59250045
