index,aldehyde_smiles,PubChem_CID,dG_xtb_kcal,dG_shermo_kcal,dG_orca_kcal
301,C1=CC(=CC(=C1)C(F)(F)F)C=O,67990,-12.4,-11.0,-0.96
477,C=CC1(CCC=CC1)C=O,89525526,-7.7942,-7.8999,2.7624
703,CCCN(CCC1=CC=CS1)C2CCC3=C(C2)C4=C(C=C3)NC=C4C=O,10406614,0.1639,1.3363,9.5012
945,C1=C(C=C(C(=C1[N+](=O)[O-])C=O)[N+](=O)[O-])[N+](=O)[O-],69074,-16.04,-16.04,1.88
1056,C[C@]12CC[C@H]3[C@]([C@@H]1CC[C@@H]4[C@@]2(C5=C(C4)C6=CC=CC=C6N5)C)([C@@H](C[C@H](O3)C(C)(C)O)O)C=O,10411534,17.2366,17.2207,23.9223
1098,C1C[C@@H]([C@H](C1)O)[C@@H](CCCCC(=N)N)C=O,6323178,-4.952,-3.736,1.6749
1581,C1=C(C=C(C=C1C(F)(F)F)C(F)(F)F)C=O,136247,-12.19,-12.16,3.35
3035,C[C@]12CC[C@H]3[C@H]([C@H]1[C@H]4[C@@H]([C@@H]2C5=COC(=O)C=C5)O4)CC[C@@]67[C@@]3([C@H]8C[C@@H](C6)O[C@](O8)(O7)C)C=O,162647436,15.4568,16.4643,27.0389
5432,C[C@]12CC[C@@H](CC1=CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC=C4C5=C(C=NN5)C=O)C)O,134132742,-4.4876,-4.5799,4.3748
7490,C1=C(OC(=C1)C(F)(F)F)C=O,7537665,-11.45,-11.04,5.47
8523,CC1=NN=C(N1C)C=O,55253659,-21.47,-21.5,-3.33
8609,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C=O,169501969,-12.3396,-13.2816,4.2072
8714,CCCCN(C)C[C@@H]1[C@H]2CCCC[C@@H]2C[C@@H](O1)CN[C@@H](CC3=CN=CN3)C=O,154732794,-3.2667,-3.0161,4.6185
9810,C/C=C/C=C/C(=O)C1=C(C=C(C(=C1)C=O)OC)O,44566277,-7.11,-6.95,2.6
10310,C1=CC(=CC(=C1)C(F)(F)F)C(=O)NCC=O,52941965,-13.15,-14.5,-3.22
11162,C=CC(C=O)C\1(CCOC(=O)/C1=C/N)O,5281564,-12.073,-12.1143,-6.1425
11380,C1C[C@@H](CC[NH2+]C1)NC(=O)N2CC[C@H]([C@H]2C=O)NS(=O)(=O)[O-],72199478,-25.9657,-25.405,-28.7477
