index,aldehyde_smiles,PubChem_CID,dG_xtb_kcal,dG_shermo_kcal,dG_orca_kcal
301,C1=CC(=CC(=C1)C(F)(F)F)C=O,67990,-12.4,-11.0,-0.96
945,C1=C(C=C(C(=C1[N+](=O)[O-])C=O)[N+](=O)[O-])[N+](=O)[O-],69074,-16.04,-16.04,1.88
1581,C1=C(C=C(C=C1C(F)(F)F)C(F)(F)F)C=O,136247,-12.19,-12.16,3.35
7490,C1=C(OC(=C1)C(F)(F)F)C=O,7537665,-11.45,-11.04,5.47
8523,CC1=NN=C(N1C)C=O,55253659,-21.47,-21.5,-3.33
9810,C/C=C/C=C/C(=O)C1=C(C=C(C(=C1)C=O)OC)O,44566277,-7.11,-6.95,2.6
10310,C1=CC(=CC(=C1)C(F)(F)F)C(=O)NCC=O,52941965,-13.15,-14.5,-3.22
14004,C1=CN=C2C(=C1C=O)N=CC=N2,42281362,-16.86,-16.74,3.48
14993,C1=CN2C=NC=C2C=C1C=O,83826304,-9.41,-9.1,0.33
18852,CC(=O)N[C@@H](CC1=CC=CC=C1)C=O,193217,-11.05,-10.86,0.13
19055,CSC1=C(C=C(C=C1)C=O)F,11275257,-10.01,-9.0,1.17
19647,COC1=C(C=CC(=C1)C=O)OCF,135068803,-10.34,-10.04,0.8
20148,C1=CC=C(C(=C1)C=O)N=O,542808,5.93,6.62,-21.99
20524,CC(CSC1=CC=CC=C1)C=O,11073998,-12.25,-11.09,-4.58
20633,C1=CC=C(C=C1)COC2=C(C(=CC=C2)OCC3=CC=CC=C3)C=O,11726890,-6.15,-5.72,-0.56
20893,CC(=C(C)CCC=O)C,15151927,-12.2,-12.32,-4.31
20903,C1C2CC3CC1CC(C2)(C3)C4=CC=C(C=C4)C=O,15355855,-9.21,-9.07,1.34
23561,CC(C)(C)OC(=O)N1CC(C1)(C=O)C2CC2,166432670,-9.34,-9.41,-0.59
23604,C1=C(C(=CC(=C1OC(F)F)OC(F)F)[N+](=O)[O-])C=O,170915486,-19.64,-20.33,9.65
25286,C=CCC(CC=C)(C=O)C1=CC=C(C=C1)C(F)(F)F,176434193,-4.71,-3.81,2.49
26521,COC1=C(C=C(C(=C1)[N+](=O)[O-])C=O)[N+](=O)[O-],72942909,-15.74,-15.86,3.68
27953,C1=CC(=CC=C1C=O)N=O,11768628,-10.72,-10.68,2.3
29876,C1=C2C(=C(O1)C=O)O2,20340182,-10.5,-10.11,1.35
31509,C1=CC(=C(C=C1S)C=O)[N+](=O)[O-],54341187,-15.24,-15.13,-3.36
33059,CNC(=O)/C=C/C1=CC=C(C=C1)C=O,88538962,-8.92,-8.64,2.92
33622,CCOC(=O)/C=C/C1=CC=C(N1C)C=O,122163598,-7.12,-5.99,2.85
34632,COC1=CC=C(C=C1)C(=NO)C=O,139928680,-15.84,-15.54,1.16
35723,C1CN(CCC1C(=O)N2CC3=CC=CC=C3C[C@@H]2CO)C4=CC=C(C=C4)C=O,177662836,-2.47,-0.99,5.61
35762,C1CN(CCC1C(=O)NC2C3CC4CC(C3)CC2C4)C5=CC=C(C=C5)C=O,177663153,-6.88,-5.6,2.21
36337,CCOC1=C(C=CC(=C1)C=O)OC(=O)C(F)(F)F,39199906,-10.46,-10.38,-1.2
37599,C1=CC(=CC(=C1)C=O)C=C(F)F,11593499,-11.25,-10.2,0.7
37949,CC(C)(COC(=O)C=C)C=O,13651710,-7.37,-6.43,6.36
38074,CC(C)C1=NN=C(C(=C1C=O)C2=CC=C(C=C2)F)C3=CC=C(C=C3)F,14461248,-11.85,-11.55,-7.15
38142,CC1(CC1(F)F)C=O,14695228,-5.21,-5.18,7.53
38887,C1=C(OC(=C1)F)C=O,18413346,-11.47,-11.09,1.85
39349,CSC1=CC=CC(=C1C=O)F,19007532,-12.03,-11.84,2.88
40340,CC1=C(C(=C(C=C1C=O)F)SC)C,20628688,-6.97,-6.82,2.73
42153,C1=C(C(=C(C(=C1F)F)F)CC=O)F,22667333,-12.15,-13.97,0.12
42376,C1=CC=C(C(=C1)C2=CC(=C(C=C2)C=O)F)F,23005044,-8.23,-8.08,3.54
42414,CC1(CC1(C2=CC=C(C=C2)F)C3=CC=C(C=C3)F)C=O,23051258,-4.11,-4.16,6.17
43168,C1=CC(=C(C=C1C(=O)CC=O)Cl)F,43114830,-14.82,-14.1,-5.06
43680,C1=CC(=C(C=C1OC(F)(F)F)OC(F)(F)F)C=O,53420118,-16.45,-15.9,1.19
44261,C1=CC(=C(C=C1Cl)OCF)C=O,53956927,-8.32,-8.1,0.88
46082,C1=CC(=NC=C1C=O)CF,57367266,-11.56,-11.05,-0.07
49484,C1=CC=C(C=C1)COC2=C(C=C(C=C2F)CC=O)F,59455550,-10.74,-10.43,0.21
52233,C1=CC(=C(C(=C1)F)CF)C=O,84650302,-13.16,-12.95,0.51
53509,C1=CC(=C(C=C1Br)C=O)C(F)(F)Br,86633501,-14.5,-14.24,0.2
53638,C1CC2=C3C(=NC=C2F)C=CC(=O)N3C1C=O,86640630,-8.71,-8.61,-4.95
57666,C1=NC(=NC(=N1)F)C=O,87328144,-21.54,-21.58,-8.54
58852,C1=CC(=C(C=C1F)F)N2C(=C(C(=N2)Cl)C=O)Cl,87406477,-12.68,-12.41,0.11
63366,C=C1CC(C(C1)C2=CC(=CC=C2)F)C=O,87907046,-9.65,-9.71,0.94
65708,CC(=O)NC1=CC(=C(C=C1)C(=O)NCC(=O)N2CCC[C@H]2C=O)F,88275011,-7.74,-10.52,0.8
65729,CNC(CCNC1=C(C=C(C=C1)C(=O)O)F)C=O,88276637,-12.87,-12.48,-4.1
66005,C1=C(C(=C(C(=C1Br)F)Br)Br)C=O,88309299,-14.35,-14.22,0.32
66533,C1[C@H]([C@@]1(C=O)F)C2=CC(=C(C=C2)Br)Br,88462299,-10.22,-10.34,-2.8
78340,COC(=O)COC1=C(C=C(C=C1)C=O)F,103850154,-8.98,-8.99,2.21
78740,C1=C(C(=CC(=C1F)F)C#N)C=O,117276426,-11.56,-10.47,0.46
79877,C1C(CN1C(=O)C2=C(C=CC(=C2)C=O)F)NC3=NN=CC=C3,117955816,-8.64,-7.5,2.17
82510,COC1=C(C=C(C=C1)[C@@H](COCC=O)N)F,121428625,-12.21,-12.5,1.41
83123,C1=CC(=CC(=C1)C=O)/C=C/C2=CC=C(C=C2)F,122476199,-9.13,-8.61,-0.45
84092,C1=CC=C(C(=C1)N=NCC=O)F,123159704,-9.2,-9.04,-13.1
84514,[C-]#[N+]C1=CC(=CC(=C1)F)OC2=C(C=C(C=C2)C=O)F,123349988,-9.95,-9.83,1.62
89383,CC1=NN(C(=C1)C=O)CC2=CC=C(C=C2)F,131584465,-10.79,-12.38,-2.55
93146,CN1C(=CC(=N1)C(=O)NCC=O)C2=CC3=C(N2)C=CC(C3)F,136472482,-10.47,-10.58,-4.53
94883,CONC1=C(C=C(C=C1)OCC=O)F,138699263,-13.85,-13.79,-5.6
94899,CC1CCC(C1)COC2=C(C=C(C(=C2)F)C=O)C3CC3,138699949,-9.19,-8.05,-0.5
96226,CC=CCN1C(=CC(=N1)C=O)C(F)(F)F,139674929,-12.1,-11.9,-1.92
96280,C1=C(C=C(C(=C1Cl)N2C(=CC(=N2)C=O)C(F)(F)F)Cl)Cl,139675080,-13.41,-11.17,0.98
