index,SMILES,MW,PubChem_CID,reject_reason
70,C1=CC(=CC(=C1)[N+](=O)[O-])C=O,151.12,7449,zwitterion_or_nitro
79,C([C@H]([C@H]([C@@H]([C@H](C=O)[18F])O)O)O)O,181.15,68614,isotope
93,C1=CC(=CC=C1C=O)[N+](=O)[O-],151.12,541,zwitterion_or_nitro
114,C(CCl)N(C(=O)N[C@@H](C=O)[C@H]([C@@H]([C@@H](CO)O)O)O)N=O,313.69,451706,reactive_group
148,C1=CC=C(C(=C1)C=O)[N+](=O)[O-],151.12,11101,zwitterion_or_nitro
213,C1=C(OC(=C1)[N+](=O)[O-])C=O,141.08,12774,zwitterion_or_nitro
270,C1=C(C=C(C(=C1[N+](=O)[O-])O)O)C=O,183.12,5748957,zwitterion_or_nitro
280,C1=CC(=C(C=C1[N+](=O)[O-])C=O)O,167.12,66808,zwitterion_or_nitro
358,C1=CC(=C(C=C1[N+](=O)[O-])C=O)Cl,185.56,72933,zwitterion_or_nitro
404,COC1=C(C=C(C(=C1)C=O)[N+](=O)[O-])OC,211.17,88505,zwitterion_or_nitro
406,COC1=CC(=CC(=C1O)C=O)[N+](=O)[O-],197.14,307886,zwitterion_or_nitro
408,C1=CC(=CC(=C1)[N+](=O)[O-])C2=CC=C(O2)C=O,217.18,612417,zwitterion_or_nitro
409,C1=CC(=C(C=C1[N+](=O)[O-])Cl)C2=CC=C(O2)C=O,251.62,619653,zwitterion_or_nitro
416,C1=CC(=C(C(=C1)[N+](=O)[O-])O)C=O,167.12,78934,zwitterion_or_nitro
457,C1=CC(=C(C=C1O)C=O)[N+](=O)[O-],167.12,39211,zwitterion_or_nitro
458,C1OC2=C(O1)C=C(C(=C2)C=O)[N+](=O)[O-],195.13,12840,zwitterion_or_nitro
463,C1=CC(=C(C=C1F)[N+](=O)[O-])C=O,169.11,76226,zwitterion_or_nitro
464,C1=CC(=C(C=C1Br)C=O)[N+](=O)[O-],230.02,97233,zwitterion_or_nitro
519,C1=CC(=C(C=C1C=O)[N+](=O)[O-])O,167.12,18169,zwitterion_or_nitro
557,C1CCN(C1)C2=C(C=C(C=C2)C=O)[N+](=O)[O-],220.22,599518,zwitterion_or_nitro
583,C1=CC(=C(C(=C1)[N+](=O)[O-])C=O)[N+](=O)[O-],196.12,69073,zwitterion_or_nitro
586,C1=C(SC(=C1)[N+](=O)[O-])C=O,157.15,78281,zwitterion_or_nitro
594,C1=C(C=C(C(=C1C=O)O)[N+](=O)[O-])Br,246.01,618699,zwitterion_or_nitro
602,C1=CC(=C(C=C1C=O)[N+](=O)[O-])Cl,185.56,85505,zwitterion_or_nitro
613,C1=C(C=C(C(=C1C=O)O)[N+](=O)[O-])[N+](=O)[O-],212.12,75571,zwitterion_or_nitro
618,COC1=CC(=CC(=C1O)[N+](=O)[O-])C=O,197.14,81134,zwitterion_or_nitro
736,CN(CCC=O)N=O,116.12,98533,reactive_group
798,C1=CC=C(C(=C1)CC2=CC(=C(C(=C2)[N+](=O)[O-])O)C=O)Cl,291.68,720992,zwitterion_or_nitro
822,C1=CC=C(C(=C1)CN2C=CC=C2C=O)[N+](=O)[O-],230.22,736217,zwitterion_or_nitro
848,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])C=O,196.12,68250,zwitterion_or_nitro
858,COC1=C(C(=C(C=C1)OC)[N+](=O)[O-])C=O,211.17,267935,zwitterion_or_nitro
869,C1=CC(=CC=C1COC2=CC=C(C=C2)C=O)[N+](=O)[O-],257.24,735836,zwitterion_or_nitro
881,COC1=C(C(=CC(=C1O)Br)C=O)[N+](=O)[O-],276.04,3853255,zwitterion_or_nitro
903,C1=CC(=CC=C1C2=CC=C(O2)C=O)[N+](=O)[O-],217.18,81567,zwitterion_or_nitro
910,COC1=CC=CC(=C1[N+](=O)[O-])C=O,181.15,98867,zwitterion_or_nitro
918,COC1=CC(=C(C=C1)[N+](=O)[O-])C=O,181.15,230371,zwitterion_or_nitro
931,C1=CC2=C(C=C1[N+](=O)[O-])C(=O)C(=CO2)C=O,219.15,1268078,zwitterion_or_nitro
936,C1=CC(=CC=C1N2C=C(N=N2)C=O)[N+](=O)[O-],218.17,2748718,zwitterion_or_nitro
945,C1=C(C=C(C(=C1[N+](=O)[O-])C=O)[N+](=O)[O-])[N+](=O)[O-],241.11,69074,zwitterion_or_nitro
1022,C(C[C@@H](C(=O)[O-])[NH3+])C=O,131.13,49791979,zwitterion_or_nitro
1172,CC[C@H](C=O)[C@@H](CNS(=O)(=O)C1=CC=C(C=C1)[N+](=O)[O-])C(=O)O,344.34,6323527,zwitterion_or_nitro
1260,CCOC1=CC(=CC(=C1O)N=NC2=CC(=CC=C2)[N+](=O)[O-])C=O,315.28,628838,zwitterion_or_nitro
1263,CC1=CC(=C(N1C2=CC(=C(C=C2)NC3CCCC3)[N+](=O)[O-])C)C=O,327.4,2892691,zwitterion_or_nitro
1321,C1=CC=C(C(=C1)C=O)OCCOC2=CC=C(C=C2)[N+](=O)[O-],287.27,578365,zwitterion_or_nitro
1323,C1=CC(=CC(=C1)[N+](=O)[O-])N2C=CC=C2C=O,216.19,612176,zwitterion_or_nitro
1336,C1=CC=C2C(=C1)C(=CN2CC3=CC=C(C=C3)[N+](=O)[O-])C=O,280.28,883381,zwitterion_or_nitro
1456,CN(C(=O)N[C@@H](C=O)[C@H]([C@@H]([C@@H](CO)O)O)O)N=O,265.22,23615975,reactive_group
