index,SMILES
301,C1=CC(=CC(=C1)C(F)(F)F)C=O
477,C=CC1(CCC=CC1)C=O
703,CCCN(CCC1=CC=CS1)C2CCC3=C(C2)C4=C(C=C3)NC=C4C=O
743,CC(=O)N1C2C1C3(C(C4=C(C=C(C=C4OC(=O)C)C=O)N(C2)O3)COC(=O)N)OC(=O)C
945,C1=C(C=C(C(=C1[N+](=O)[O-])C=O)[N+](=O)[O-])[N+](=O)[O-]
1056,C[C@]12CC[C@H]3[C@]([C@@H]1CC[C@@H]4[C@@]2(C5=C(C4)C6=CC=CC=C6N5)C)([C@@H](C[C@H](O3)C(C)(C)O)O)C=O
1098,C1C[C@@H]([C@H](C1)O)[C@@H](CCCCC(=N)N)C=O
1147,C1=CC(=CC(=C1)S(=O)(=O)NCC2=NC=C(C=C2)C(=O)N[C@@H](CC(=O)O)C=O)C3=NOC(=O)N3
1358,CC1=C(C2=C(C(=C1O)O)O[C@@H]3C4=C(C(=C(C(=C4C(=O)[C@H]2O3)O)O)O)C)C=O
1390,C/C=C/C1=CC2=C(C3=C(C(=C(C(=C3C(O2)OC(C)C)C=O)OC)O)O)C(=O)O1
1406,CC1=C(C(=C2C(=C1O)C(=O)C=C(O2)C3=CC=CC=C3)C=O)O
1430,C1COC[C@H](N1C(=O)C2=C(N=CC=C2)CCO)COC3=CC=CC(=C3C=O)O
1581,C1=C(C=C(C=C1C(F)(F)F)C(F)(F)F)C=O
1908,C1=CC(=CC=C1C=O)OCC(=O)O
2019,C1C[C@@]2([C@@]3(C[C@H](O[C@H]3O)C4=COC=C4)[C@@H](C[C@H]([C@@]2([C@]([C@@H]1O)(CC(=O)O)C=O)C(=O)O)O)CO)CO
2198,CCCN(CCC)[C@H]1CCC2=CC(=C3C(=C2C1)C(=CN3)C=O)F
2239,C#CN(CC1=CC2=C(C=C1)N=C(NC2=O)N)C3=CC=C(C=C3)C(=O)NC(CCC=O)C(=O)O
2310,C[C@H]1CN2C3=C(C=CC(=C3CN1CC=C(C)C)C=O)NC2=S
2452,CC(C)(C)C1=CC=C(C=C1)S(=O)(=O)NC2=NOC(=C2SC3=CC=CC(=C3)OC)CCCC=O
2462,CN1CCN(CC1)C2=CN3C(=CC=C3SC4=CC=CC=C42)C=O
2557,CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=C(C=CC(=C5C=O)O)N=C4C3=C2)O
