index,SMILES,PubChem_CID
301,C1=CC(=CC(=C1)C(F)(F)F)C=O,67990
703,CCCN(CCC1=CC=CS1)C2CCC3=C(C2)C4=C(C=C3)NC=C4C=O,10406614
743,CC(=O)N1C2C1C3(C(C4=C(C=C(C=C4OC(=O)C)C=O)N(C2)O3)COC(=O)N)OC(=O)C,133974
1358,CC1=C(C2=C(C(=C1O)O)O[C@@H]3C4=C(C(=C(C(=C4C(=O)[C@H]2O3)O)O)O)C)C=O,73891099
1390,C/C=C/C1=CC2=C(C3=C(C(=C(C(=C3C(O2)OC(C)C)C=O)OC)O)O)C(=O)O1,16737295
1406,CC1=C(C(=C2C(=C1O)C(=O)C=C(O2)C3=CC=CC=C3)C=O)O,194004
1430,C1COC[C@H](N1C(=O)C2=C(N=CC=C2)CCO)COC3=CC=CC(=C3C=O)O,146567655
1581,C1=C(C=C(C=C1C(F)(F)F)C(F)(F)F)C=O,136247
1908,C1=CC(=CC=C1C=O)OCC(=O)O,89177
2198,CCCN(CCC)[C@H]1CCC2=CC(=C3C(=C2C1)C(=CN3)C=O)F,10064361
2310,C[C@H]1CN2C3=C(C=CC(=C3CN1CC=C(C)C)C=O)NC2=S,3000845
2462,CN1CCN(CC1)C2=CN3C(=CC=C3SC4=CC=CC=C42)C=O,9945168
2557,CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=C(C=CC(=C5C=O)O)N=C4C3=C2)O,14761129
2700,C1C(CN2C3=C(C=C(C=C3)Br)C4=C5C(=C6C7=C(N1C6=C42)C=CC(=C7)C=O)CNC5=O)CO,44430898
2900,CN1C2=C(C=C(C=C2)S(=O)(=O)NC3=C(N=C(C=C3)OC)OC)C4=C1C=C(C=C4)C=O,134134993
2902,C[C@@H]1[C@H]([C@@H]([C@H]([C@@]2(O1)C3=CC(=C(C=C3CO2)Cl)CC4=CC=C(S4)C=O)O)O)O,134469646
3080,CC1=CC(=C(C(=C1)O)OC2=C(C(=C(C=C2)C(CC(C)C)O)OC)C(=O)O)C=O,10834132
3131,CC1=C(N2C=CC=CC2=N1)C3=NC(=NC=C3)NC4=CC=C(S4)C=O,44820215
4401,C[C@](COC(=O)CC1=CC(=C(C=C1)O)O)([C@H](C(=O)O)NC2=C(C=C3N2C=CC=C3)C=O)S(=O)O,46937126
4700,C1CN2CCC1C(=C2)C3=CC4=CC(=CC(=C4O3)C=O)I,10691101
4851,C1CN(CC1O)CC(C2=CC=CC=C2)N3C=CC=C(C3=O)C4=CC=CC=C4C=O,44269952
5131,CCNC(=O)[C@@H]1[C@H]([C@H](C(O1)N2C=NC3=C(N=C(N=C32)C#CC4=CC=C(C=C4)C=O)N)O)O,46874551
5282,CCCCN(CC)C1=NC(=NC2=C1C(=C(N2C3=C(C=C(C=C3C)C)C)C=O)C)C,57390674
5320,CC1=CC[C@@H]2[C@@]([C@@H]1CC3=CC(=C(C=C3O)C=O)O)(CC[C@@H](C2(C)C)Br)C,71580666
5386,C1CN(CCN1CCCCC2=CN(N=N2)C3=CC4=C(C=NN4C=C3)C=O)C5=C(C(=CC=C5)Cl)Cl,122189389
5432,C[C@]12CC[C@@H](CC1=CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC=C4C5=C(C=NN5)C=O)C)O,134132742
5438,C1=CN(C=C1C=O)C2=C(C=C3C(=C2)C4=CC(=NN4C(=O)N3)C(=O)O)Cl,135457387
5448,CN(CC1=CC2=C(C=C1)N=C(NC2=O)C=O)C3=CC=C(S3)C(=O)NC(CCC(=O)O)C(=O)O,136058130
5489,CN1C=CC(=N1)C2=CC=C(C=C2)CN3C=C(C4=C3C=CC(=N4)C=O)C(=O)N[C@H]5CCOC[C@@H]5O,145970842
5593,CC1=CC(=CC(=C1OC2=NC(=NC3=C2CCCC3)NC4=NC=C(C=C4)C#N)C)C=O,164609854
5611,C1CNC(=O)C12CCN(CC2)C3=C(C=NC=C3C4=CSC=C4C=O)Cl,164620079
5665,C1CCC2=NC3=C(C4=C(S3)C(=C(C=C4)C=O)SC5=CC=CC=C5)C(=O)N2CC1,44542643
5801,CC(=CCC1=C(C(=C(C=C1O)O)C2=C(C3=CC(=C4C(=C3O2)C=CC(O4)(C)C)O)C=O)OC)C,155544402
5951,CC1(CC2=C3C(=C(C(=C2C1)OC)C=O)CC(OC3=O)O)C,25147702
6075,CC(CCC/C=C/C(C(/C=C/C1=C(C=CC(=C1C=O)O)CC(C(C)(C)O)O)O)O)O,16091532
6089,CC1=C2C(=O)CC(OC2=CC3=C1OC(=O)C4=C(C(=C(C(=C4O3)C=O)O)Cl)C)(C)C,44254338
6151,C1OC2=C(O1)C=C(C(=C2)C=O)C3=CC=CC=C3,614715
6189,C[C@@H]1C[C@@H]2[C@@](CC[C@]3([C@]2(CC=C4[C@]3(C=CC5=C(C(=C(C=C45)O)O)C=O)C)C)C)(CC1=O)C,10788966
6251,CC(C)C1=C(C(=C2C(=C1C=O)C=C3[C@@]2(CCCC3(C)C)C)O)O,5316655
6410,CC(=C)C1CCC2=C(C1)C(=CC(=C2)O)C=O,14681763
6541,C1=CC(=C(C2=C1NC(=N2)SCC(=O)O)C=O)O,54576006
6547,C[C@H]1COCCN1C2=NC(=NC3=C2C=CC(=N3)C4=CC(=C(C=C4)OC)CO)N5C=NC(=C5C=O)C,57463693
6557,CCCCN(C1CCOCC1)C2=C3N(C(=CS3)C4=C(C=C(C=C4OC)C=O)OC)N=C2OC,58223462
6561,CC1=CC=C(S1)C2=CC(=C(C(=C2)OC)O)C=O,59599707
6613,COC1=CC(=CC(=C1O)C=O)C2=CC3=C(C=C2)OCC3,59599813
6663,CN1CCN(CC1)C(=O)C2=CC=C(S2)C3=CC(=C(C(=C3)OC)O)C=O,59599932
6689,COC1=C(C=C(C=C1)C2=CC3=C(C=CN=C3C=C2)NC4=CC=CC5=C4C=NN5)C=O,86766650
7074,C1[C@H]([C@H]1F)C(=O)NC2=CN3C=C(N=CC3=N2)C4=C5C=NNC5=C(C(=C4Cl)F)C=O,164520629
7490,C1=C(OC(=C1)C(F)(F)F)C=O,7537665
8523,CC1=NN=C(N1C)C=O,55253659
8622,CC(=O)N[C@@H](CSC1=C(C(=O)C=C2C1=NC3=C(O2)C=CC(=C3)C=O)N)C(=O)O,71464599
8628,CC1CCC2C(C(C(CC2(C13CC4=C(C=C(C(=C4O3)C(=O)O)C=O)O)C)O)O)(C)C,119528
8643,C1=CC(=C(C=C1N)C=O)O,9543212
8670,C(=O)C1=NNC(=O)N1,135985157
9041,C[C@@H]1CCC(=O)[C@@H]([C@@]1(C)/C=C/C(=C/CC2=C(C(=C(C(=C2OCC(=O)O)Cl)C)C=O)OC)/C)C,10885269
9049,CN1C2=CC=CC=C2C(=C1C=O)C#CC3=CC=CC=C3,12026524
9075,CC(C)CC(=O)C1=C(C=C(C(=C1O)C=O)O)O,16728390
9209,C1=CC=C2C(=C1)C(=CN2)C[C@@H](COC3=CN=CC(=C3)C4=CC5=C(NN=C5C=C4)C=O)N,45481731
9443,CC1=CC2=C(C=C3CC[C@@H](C[C@@H]3O2)C(C)CNCC4=CC=C(C=C4)C=O)C(=O)O1,71462383
9479,CC[C@H](C)CC/C(=C/C1=C2C(=CC(=C1C)O)C3=C(C=CC(=C3N2)O)C=O)/C,118705988
9580,CC1=C(C=C(C=C1)NC2=NC=C(C(=N2)N(C)C3=CC4=NN(C(=C4C=C3)C=O)C)Cl)S(=O)(=O)N,145956923
9649,CC1=C(C(=C(C(=C1Cl)O)C/C=C(\C)/CC/C(=C(\C)/C(C)CCCO)/C)O)C=O,164611564
9766,C[C@H]1CC[C@]2(C([C@]1(C)CC3=C(C(=CC(=C3)C=O)O)OS(=O)(=O)O)CCCC2=C)C,22833271
9805,C1=CC(=CC=C1/C=C/C2=C(C(=CC(=C2)O)O)C=O)O,24850536
9810,C/C=C/C=C/C(=O)C1=C(C=C(C(=C1)C=O)OC)O,44566277
9816,C[C@]12CC[C@H](C(C1CC=C3[C@@H]2CC[C@@]4([C@@]3(CC[C@H]4C5=CNC(=C5)C=O)C)C)(C)C)O,49864212
10420,COC1=CC(=C(C=C1)OCC2=CC=CC(=N2)CO)C=O,90659691
10470,CCC1=C(C(=C(C(=C1O)O)C=O)COCC2=CC=CC=C2)C3=CC=CC=C3,139404377
10749,C1=C(NC(=C1)C(=O)CCC/C=C\CCCCCCCCCC/C=N\O)C=O,10714475
10811,CC(CC1=COC=C1C=O)C2=CCC(C2)(C)C,21593537
11036,C1=CC2=C(C(=C1)C(F)(F)F)N=C(C=C2C=O)C(F)(F)F,12254569
11323,C/C/1=C/C[C@]2(C(=CC(=O)C(=C(C3=C(C=CC=C3OC1)C=O)O)C2=O)C)CC=C(C)C,101204013
11362,C[C@@H]1CCC(=O)[C@@H]([C@@]1(C)C[C@@H](/C(=C/CC2=C(C(=C(C(=C2O)Cl)C)C=O)O)/C)OC(=O)C)C,155448240
11892,CCN(CC)CCNC(=O)C1=C(NC(=C1C)/C=C\2/C3=C(C=CC(=C3)C4=CC=C(C=C4)C=O)NC2=O)C,127024631
11934,CC1=CC(=C(C(=C1CCC2(C=CC3=C(O2)C=CC(=C3)O)C)C)C=O)O,374393
12007,C1CC(CNC1)NC(=O)C2=CC=C(S2)C3=CC4=C(C=C3)C(=C(C=C4)O)C=O,88947011
12072,CC1=C(C(=NO1)C)C2=CC3=C(C(=C2)C(=O)N)N(C4=C3C=CC(=C4)C=O)CC5CC5,90375354
12116,CC1=C(SC(=N1)C2=CC3=C(C=C2)C(=C(C=C3)O)C=O)C(=O)NC4CCN(CC4)C,135980494
12140,CC1=CC(=NC(=O)C1CNC(=O)C2=C3C=NN(C3=NC(=C2)C=O)C(C)C)C,138404014
12163,CN1C=NC2=C1C(=O)N(C=N2)CC3=NC(=NO3)C4[C@H]5[C@@H]4CN(C5)C6=CC=C(C=C6)C=O,142422654
12169,COC1=CC2=C(C=C1)NC(=O)[C@@]23CC3C4CCC5C(C4)NNC5C#CC6=CC=C(C=C6)C=O,145866279
12172,C[C@H]1[C@H](C2(CCN(CC2)C3=NC=C(C4=NC=CN43)SC5=CC=CC6=C5SC=C6C=O)CO1)N,146466934
12195,CC(C)(C)C1=CC=C(C=C1)C2=CC(=CC=C2)N(C)C3=NC4=NN=CN4C5=C3C=CC(=C5)C=O,156536689
12394,CN(C)C1=C(C2=NC3=C(C=CC(=C3C=O)N(C)C)C=C2C=C1)/C=N/N(CCCl)CCCl,9570784
12824,C=CCN\1C(=C(S/C1=N/S(=O)(=O)C2=CC=CS2)C=O)Cl,5678572
14004,C1=CN=C2C(=C1C=O)N=CC=N2,42281362
14501,C=CC1=C(C=C(C=N1)C=O)Cl,58001725
14959,CCC1=NOC=C1C=O,83478669
14993,C1=CN2C=NC=C2C=C1C=O,83826304
15598,C1=CC(=C(C(=C1OC(F)(F)F)C=O)Cl)Br,168228998
15705,C1=COC(=C1)CNC2=C(C(=C(C=C2C(=O)O)S(=O)(=O)N)Cl)C=O,129628988
15737,CC1=C2CC=C(C2=CC(=C1C=O)C(C)C)CO,172431510
16023,CCCCCC1CC2=C(C=CC(=C2)OC(=O)C)C3=C(C4=C(N13)C=CC(=C4)OC(=O)C)C=O,10388149
16037,C[C@H]([C@H]1[C@@H](O1)C[C@H]2CO[C@H]([C@@H]([C@@H]2O)O)C/C(=C/C3=NC=C(O3)C=O)/C)[C@H](C)O,10596850
16090,C1=CC(=CC=C1C=O)C2=C(C(=NC(=C2C#N)SC3=CC=C(C=C3)O)N)C#N,11717690
16301,C/C/1=C/CC[C@]2([C@@H](CC[C@@H]2[C@H](C)CCCC(C)C)C3=C(C=C(C[C@H](CC1)O)C=C3)C=O)C,44291543
16310,CC1=C(N=C(C2=C1C3=CC=CC=C3N2)C4=NC5=C(C=C4)C(=O)C=C(C5=O)N)C=O,44300485
16358,C[C@]12CCC3C(C1CC[C@]2(C#C)O)CC[C@@H]4[C@@]3(CC5=C(C4)OC(=C5)C=O)C,44355926
16384,C1=CC(=CC=C1C=O)C(=O)OCCCCC2=CNC(=S)NC2=O,44384680
16388,C1=CC=C(C=C1)CCC[C@@H]2[C@H](N(C2=O)C3=CC=C(C=C3)O)C4=CC=C(C=C4)C=O,44385944
16572,C1CCC(CC1)COC2=CC=CC3=C2C(=O)/C(=C/C4=CC=C(C=C4)C=O)/O3,46906666
16720,CC1(C(CC2=C(O1)C(=CC3=C2NC4=CC(=C(C=C43)Br)OC)C=O)Br)C,54768539
16815,C1CCC2=C(C1)C3=C(S2)N=CN(C3=O)C4=CC=CC(=C4)C=O,66553668
16844,CN(C)CCOC1=CC=C(C=C1)C2=NC(=C(N2)C3=CC=NC=C3)C4=CC5=C(C=C4)C(=CS5)C=O,71524888
16905,C1COC(C2=NOC(=C21)C=O)C3=CC=CC=C3Cl,76312587
16938,CC1=NN=C(S1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)CN4C=CC=C4C=O)SC2)C(=O)O,90673404
16980,CC1(C=CC2=C(O1)C=CC3=C2OC=C(C3=O)C4=CC=C(C=C4)C=O)C,118706977
17019,C1=CC(=CC=C1C2=CC(=C(N=C2)Cl)CN3C=C(N=N3)C=O)F,118735819
