index,SMILES,PubChem_CID,sel_method
277045,C1=CC=C2C(=C1)C(=CC3=C2C=C(C=C3)C=O)Br,13477028,representative
6151,C1OC2=C(O1)C=C(C(=C2)C=O)C3=CC=CC=C3,614715,representative
281821,C1CC(OC1)CNC(=O)COC2=CC=CC=C2C=O,16769752,representative
153125,C1=CC(=CC(=C1)OC(F)(F)F)CN2C3=C(C(=CC=C3)OCC(=O)O)C4=C(C=CC=C42)C=O,175780981,representative
43006,C1=CC=C(C(=C1)C(F)(F)F)OC2=CC=CC(=C2)C=O,25222857,representative
284210,CCC[C@@H]1[C@@H]2[C@H](CCN2C(=O)C3=CC=C(C=C3)C=O)N(C1=O)S(=O)(=O)C,18395940,representative
22124,CN(C)CCNC(=O)CCC1=CC2=C(S1)C=CC(=C2C=O)O,89548321,representative
279416,CC(C)(C)C1=CC(=CC(=C1)C=O)O,14839296,representative
24710,C1=CC=C(C=C1)C2=C(C=C(C=C2C=O)F)CCO,134968219,representative
214535,C1C(=O)NC(=O)CN1C2=C(C(=CC=C2)F)C=O,108302282,representative
51359,C1OC2=CC(=CC(=C2O1)C(F)(F)F)C=O,72944693,representative
118659,C1=CC(=CC(=C1)OCCCC(=O)O)C2=CC=CC(=C2F)COC3=C(C=C(C(=C3)O)C=O)Cl,156144258,representative
165259,COC1=C(C=C(C=C1)C=O)OC2=CC=C(C=C2)CCC3=C(C(=CC=C3)OC)C4=C(C=C(C=C4)CO)OC,44220446,representative
258344,CC1=NC=CC(=C1)C2=CC(=C(C=C2)C=O)C(F)(F)F,172651440,representative
47525,CC(C)C1=CC(=CC(=C1OS(=O)(=O)C(C(C(C)(F)F)(F)F)(F)F)C(C)C)C=O,58108242,representative
254790,CC1=CC(=C(C(=C1)F)C=O)CC(=O)OC,171011353,representative
62340,CC(COC1=C(C=C(C=C1)C=O)O[C@@H](C2=CC=CC=C2)C(F)(F)F)C3=CC=CC=C3,87797262,representative
214374,CCN(CCOC)C1=C(C(=CC=C1)F)C=O,108302121,representative
10470,CCC1=C(C(=C(C(=C1O)O)C=O)COCC2=CC=CC=C2)C3=CC=CC=C3,139404377,representative
158259,C1=CC(=CC=C1C=O)OC2=C(C=C(C=C2Cl)F)F,178142303,representative
270547,CCOCC1=CC=C(C=C1)C=O,10125092,representative
259108,CC1=CC(=C(C(=C1)C2=CC=CC=C2)F)C=O,175668239,representative
219466,CCOC1=CC=C(C=C1)C2=C(C=CC(=C2)F)C=O,114060096,representative
39448,CS(=O)C1=CC=C(C=C1)C2=C(C=CC(=C2)F)C=O,19361951,representative
191055,CC(C(C)(C)C)N(C)C1=C(C=C(C=C1F)C=O)F,63050379,representative
206908,C1=CC(=C(C(=C1)Cl)F)COC2=C(C=C(C=C2Cl)Cl)C=O,102856021,representative
259737,CC1=C(C=CC(=C1C=O)SC)F,177687636,representative
212603,CC(C(=O)NC1CCCC1)OC2=C(C=C(C=C2)C=O)F,107689480,representative
198845,CCN(CC1=CC=CO1)C2=C(C=C(C=C2)C=O)C(F)(F)F,81827979,representative
155038,CCOC(=O)C1=CC(=C=O)C2=CC(=CC(=C2O1)C=O)F,176347069,representative
189319,CC1=CC=C(C=C1)C2=C(C=CC(=C2)C=O)F,61025604,representative
211995,CC1=C(C(=CC=C1)C=O)OCC2=C(C(=CC=C2)C#N)F,107116272,representative
203331,CC(C1=C(C=C(C=C1)C=O)Br)F,84694127,representative
102486,C1=CC=C(C(=C1)C=O)C(=O)NCC(C2=CC=C(C=C2)F)O,143082938,representative
153023,CCCCN1C=C(C2=C(C1=O)C=NC=C2)C3=CC=CC(=C3F)C=O,175752196,representative
88954,C1[C@@H]([C@H](OC2=C1C3=C(C=C2)C=C(C=C3)C=O)C4=CC(=C(C=C4F)F)F)N,130391973,representative
239078,COC(=O)C1=CC(=C(C(=C1)C#N)OC(F)F)C=O,134646546,representative
78534,CCN(CC)C1=C(C(=CC=C1)F)C=O,108301986,representative
3080,CC1=CC(=C(C(=C1)O)OC2=C(C(=C(C=C2)C(CC(C)C)O)OC)C(=O)O)C=O,10834132,representative
237889,C1=CC(=CC(=C1)C(=O)C(F)(F)F)C=O,134093257,representative
47321,COC1=CC=CC=C1COC2=C(C=C(C=C2)C3=CC=C(C=C3)OC(F)(F)F)C=O,58008245,representative
250484,C1=CC(=C(C=C1C=CC(=O)O)C(F)(F)F)C=O,169460983,representative
155688,CC1=CC(=C(C(=C1)C(C)N)/C=C(/N2CCN(CC2)CC(F)(F)F)\N(C)C)C=O,176708048,representative
164380,CCCCCC/C=C/C(=O)C1=CC=CC(=C1)C=O,14981307,representative
196499,C1=CC=C(C=C1)C#CCOC2=C(C=C(C=C2F)C=O)F,79891543,representative
227660,C1=CC(=C2C(=C1)N=C(O2)OC(F)F)C=O,118831575,representative
94569,CN(C)CC1=C(C=CC(=C1)C2=CC=C(S2)C3=CC(=CN=C3)N(C)SC4=C(C=C(C=C4)F)F)C=O,138566506,representative
36104,C1CN(CCC1C(=O)NC2=CN=C(C=C2)Br)C3=CC=C(C=C3)C=O,177665764,representative
238893,COC1=C(C(=C(C=C1)C=O)C(F)(F)F)C(F)(F)F,134640558,representative
275343,C1=CC=C(C(=C1)C=O)OCC2=CC=C(C=C2)C#N,12624581,representative
80072,C1=CC(=CC=C1C=O)OC2=CC(=C(C=C2)Cl)CF,117998722,representative
81363,CC(C)(C)OC(=O)NCCCN1C=C(C2=C1C=CC(=C2)C=O)C3=CC=C(C=C3)OC(F)(F)F,118541060,representative
83002,CCOC1=CC(=CC(=C1)C2=NC=CC(=N2)C(F)(F)F)C=O,122476011,representative
22447,CCOC1=C(C(=CC(=C1)C=O)Cl)OCC,4766543,representative
57530,C1CC(C1)NC2=NC(=NC=C2C(F)(F)F)NC3=CC=CC(=C3)C=O,87314059,representative
280455,COC1=CC(=CC(=C1O)C=O)C(=O)OC,15325006,representative
261209,CC(C)NC1=NC(=NC(=N1)OC2=CC=C(C=C2)C=O)NC(C)C,802810,representative
237894,COC1=CC(=NC(=N1)OC2=CC=CC(=C2C=O)C3=CC(=CC=C3)F)OC,134100346,representative
153833,CC1=NN=C2N1C3=C(C=C(C=C3)C=O)C=NC2(C)C4=C(C=CC=C4F)F,175974114,representative
12116,CC1=C(SC(=N1)C2=CC3=C(C=C2)C(=C(C=C3)O)C=O)C(=O)NC4CCN(CC4)C,135980494,representative
219659,C1CC1CN(CC2CC2)C3=C(C(=CC=C3)F)C=O,114065140,representative
28352,C1CSC(S1)C2=CC=C(C=C2)C=O,12673321,representative
257329,C1=CC(=C(C=C1C=O)C(C(CCN)O)O)F,171881165,representative
136506,C1COCC=C1C2=NC=C3C=C(C=C(C3=N2)F)C=O,170708532,representative
180028,C1=CC(=CC=C1C=O)C2C3=C(C=C(C=C3)O)OC(=C2C#N)N,176424190,representative
213378,C1=CC(=C(C(=C1)Cl)C=O)OCC2=CC(=C(C=C2)Cl)F,107881571,representative
234979,CN1C=CN=C1C2=CC=CC(=C2F)C=O,130781337,representative
35297,C1=CC(=CC=C1C=O)C2=NC(=CN=C2N)C3=CC=C(C=C3)F,126469475,representative
70616,CC(C1=C(C=C(C(=C1)N)C=O)I)F,89102958,representative
263788,C1=CC=C(C=C1)NC(=O)COC2=C(C=C(C=C2)Br)C=O,819637,representative
252135,C1=CC(=C(C(=C1)C=O)F)C=CCCS,170478209,representative
259238,CC(C)OC1=C(C=CC(=C1)C2=CC=CC=C2C=O)OC(F)(F)F,176452319,representative
99223,C1=CC(=CC(=C1)C(F)(F)F)C2=CC3=C(O2)C=CC(=C3)C=O,141495075,representative
