index,SMILES,PubChem_CID
110738,COC1=C(C=CC(=C1)S(F)(F)(F)(F)F)C=O,146322672
57666,C1=NC(=NC(=N1)F)C=O,87328144
85946,CC1=C(C(=NC2=C3CN(CC3=NN12)C4=C(C=CC(=C4OC5CC6CCC(C5F)N6)C=O)F)C)Cl,124086380
111808,C1C(NC(=O)C2=C(N(N=C21)C3=NC=C(C=C3)C#N)C=O)CCC4=CC(=CC=C4)OCC(F)(F)F,146606861
68959,C1CCC(CC1)C2CC=C(C=C2C(F)(F)F)C3=C4CCC5=C(C4=NO3)C=CC(=C5)C=O,88943312
232296,C1=C(C(=C(N=C1C(F)F)C=O)C#N)I,130077582
115343,C1CCOC(C1)N2C=C(C(=N2)C=O)C#CC3=CN=CC(=C3)CN4CCC(C4)(F)F,154998791
153962,CCOCOC1=CC=CC(=C1C2=NN=C(C(=C2C(F)F)C(F)F)NC3CC(C3)(C)O)C=O,176014460
176209,CC1=C(C=CC(=C1)C2=NN(C(C2)C3=C(C=CC=C3Cl)Cl)C4=NC=CC(=C4)C=O)O,136610196
84081,CC1=C(C=C(C=C1)C2=C(C=CC(=N2)CC(=O)C3(CC3)C4=CC5=C(C=C4)OC(O5)(F)F)C)C=O,123154013
157378,CC(COCC1=CN(N=N1)C2CCN(C2)C3=NC(=CS3)C=O)NC4=C(C(=O)NN=C4)C(F)(F)F,177936892
288898,COC1=C(C=C(C=C1)C(CC(=O)OC)C#CC2=CC=C(O2)C=O)OC3CCCC3,19349966
23803,COC1=CC2=C(C=C1)N=C(N2C3=CC=C(C=C3)C=O)Cl,155923735
212916,CC(C)(COC1=C(C=C(C=C1)F)C=O)C(=O)O,107697342
37599,C1=CC(=CC(=C1)C=O)C=C(F)F,11593499
163630,CC(=O)OC1=C(NC(=C1)C2=CC=CC=C2)C=O,12407967
242371,CC1=C(C=CC(=C1)F)C2=C(NC(=N2)C=O)Br,156027551
265575,CN(C)C1=CC=C(C=C1)/C=C/C2=C3C(=C(S2)C4=C5C(=C(S4)C=O)OCCO5)OCCO3,12965119
1390,C/C=C/C1=CC2=C(C3=C(C(=C(C(=C3C(O2)OC(C)C)C=O)OC)O)O)C(=O)O1,16737295
287044,C1=CC(=C(C=C1N)C2=CC(=CO2)C=O)N(CCO)CCO,18798960
945,C1=C(C=C(C(=C1[N+](=O)[O-])C=O)[N+](=O)[O-])[N+](=O)[O-],69074
142234,C1=CC=C(C=C1)COC2=C(C(=C(C(=C2)C=O)F)F)I,174321693
211291,COCCSC1=CC(=CC(=C1)F)C=O,106533621
27686,C1=CC=C2C(=C1)C(=CN2O)C=O,11182778
81227,CC(C)OC1=C(C=C(C=C1N2CC3=CN(N=C3C2)C4=CC(=C(C=C4)F)F)S(=O)(=O)C)C=O,118472568
135107,CCC1C(N(C(=O)C1F)CO)COC2=NC=CC3=C2N4C=CN=C4C(=C3)C=O,170134066
32499,CCC1=CC=CC(=C1CNC2=CC(=NC3=C2NC(=C3C=O)C)C(=O)N(C)C)C,86616848
134987,CCCC(CCN(CCNC)C1=C(OC2=C1C=C(C=C2)C(F)(F)F)C=O)CCO,170095066
6613,COC1=CC(=CC(=C1O)C=O)C2=CC3=C(C=C2)OCC3,59599813
194984,CC(C)(C)OC(=O)N1CCN(CC1)C2=C(C=C3C(=C2)N(C(=CC3=O)C=O)C4CC4)F,71552597
172601,C[C@@H]1C2=C(C=CC(=C2[C@H](OC1=O)OC)C=O)C3(CCC(CC3)(C)C)C,134833857
153840,C1COC2=C1C(=C(C=C2)F)CNC3=NC=C(C4=NC=CN43)C5=CC(=C(C(=C5)F)C=O)F,175976277
277834,C1=CC=C2C=C3C(=CC2=C1)C(=O)C(=CO3)C=O,13874546
124801,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C=O)C3=CCC(C=C3)F,163410907
134489,CC1=CC(=C(C=C1)NC2=C(C=C(C3=CN=CN32)CC4=C(C(=NC=C4)NSNC)F)C=O)F,169946915
158338,CC1(CC1)NS(=O)(=O)C2=CN3C(=C(N=C3C4=NN=C(S4)C(F)F)C=O)C(=C2)CC(=O)O,178165149
252135,C1=CC(=C(C(=C1)C=O)F)C=CCCS,170478209
243213,CC1=C(C(OCC1(F)F)C2=C(SC(=C2)C=O)C)/C=C\C=C,162574625
161612,C1C2=C(N(C=C2[C@@H]3[C@H](O[C@]1(O3)CO)[C@@H](CO)O)CCCC(=O)O)C=O,71681275
138474,CC(C)C1=C(C=C(C(=C1)C=O)NSC)F,172289813
153828,CC1=NN=C(C=C1)NC2=CN3C(=C(C=N3)C4=CC(=C(C=C4)C=O)N5C(=CC(=N5)C(F)F)C)N=C2,175970495
281174,CC1([C@@H]([C@H](C2=C(O1)C=CC(=C2)C=O)N3CCSC3=NC#N)O)C,15734826
133299,CCC1=C(C=CC(=C1)NC2=NC=CN3C2=NC=C3/C(=C/C=C(\CF)/OC)/C(=C)F)C=O,169568414
153913,C1CN2C(=C(C(=N2)CF)C=O)N(C1CF)CF,175994229
134587,CC(C)(C1=CC=C(C=C1)NC2=C(C=C(C=C2)C=O)C3=NN=C(O3)C4CC4)F,169985683
134363,CCC1CC(N(C1)C2=C(C=CC(=N2)N/C=C\C(NC)OCCC3(CC3)C(F)(F)F)C=O)(C)C,169897929
89415,CC(C)(C)C1=CC=CC(=C1)CN2[C@H]3CS(=O)(=O)C[C@H]([C@@H]3OC2=O)CC4=CC(=C(C(=C4)F)N)C=O,131729366
103826,C1=CC(=CC=C1CNC(=O)C2=C(C(=C3C=C(C=NC3=C2O)Br)N)C=O)F,143584203
290173,CC(C)CCC1=C(N(C(=O)N1CC2=C(C(=CC=C2)C3=CC=CC=C3)C(=O)O)CC(C)C)C=O,19741457
84159,C1CCC2=C(C1)COC3=C(C(=CN=C3C(CN4C2=CC=N4)(F)F)O)C=O,123190209
