index,SMILES,cho_class,benzoin,product_rotbonds,flex_bin,sel_method
12809,C1COC2=C(O1)C=C(C=C2Cl)C=O,aromatic_carbo,O=C(c1cc(Cl)c2c(c1)OCCO2)C(O)c1cc(Cl)c2c(c1)OCCO2,3,rigid_0-3,maxmin
86928,CC1=C2C(=C(C(=C1F)O)C=O)C=CN2C(=O)OC(C)(C)C,aromatic_carbo,Cc1c(F)c(O)c(C(=O)C(O)c2c(O)c(F)c(C)c3c2ccn3C(=O)OC(C)(C)C)c2ccn(C(=O)OC(C)(C)C)c12,3,rigid_0-3,maxmin
171747,C#CC1=C(C=CC2=C1C(=O)C3=CC=CC=C3C2=O)C=O,aromatic_carbo,C#Cc1c(C(=O)C(O)c2ccc3c(c2C#C)C(=O)c2ccccc2C3=O)ccc2c1C(=O)c1ccccc1C2=O,3,rigid_0-3,maxmin
10766,C[C@H]1CC[C@@H]2[C@]3(CC[C@@H](C([C@@H]3CC[C@]2([C@]14CC5=C(O4)C(=CC(=C5O)O)C=O)C)(C)C)O)C,aromatic_carbo,C[C@H]1CC[C@@H]2[C@@]3(C)CC[C@H](O)C(C)(C)[C@@H]3CC[C@@]2(C)[C@]12Cc1c(O)c(O)cc(C(=O)C(O)c3cc(O)c(O)c4c3O[C@@]3(C4)[C@@H](C)CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)c1O2,3,rigid_0-3,maxmin
179596,CN1C=NC(=C1C#CC2=CC=C(C=C2)C=O)C#CC3=CC=CC=C3,aromatic_carbo,Cn1cnc(C#Cc2ccccc2)c1C#Cc1ccc(C(=O)C(O)c2ccc(C#Cc3c(C#Cc4ccccc4)ncn3C)cc2)cc1,3,rigid_0-3,maxmin
176773,CC1(C2=CC=CC=C2[C@]3(O1)C=CC4=C(O3)C(=C(C=C4)O)C=O)C,aromatic_carbo,CC1(C)O[C@]2(C=Cc3ccc(O)c(C(=O)C(O)c4c(O)ccc5c4O[C@]4(C=C5)OC(C)(C)c5ccccc54)c3O2)c2ccccc21,3,rigid_0-3,maxmin
87646,CC1=CC(=C(C2=C1CCN(C2)C(=O)C(F)(F)F)C)C=O,aromatic_carbo,Cc1cc(C(=O)C(O)c2cc(C)c3c(c2C)CN(C(=O)C(F)(F)F)CC3)c(C)c2c1CCN(C(=O)C(F)(F)F)C2,3,rigid_0-3,maxmin
59509,C[C@@H]1CN2[C@H]([C@@H](O1)C)C3(CC4=CC(=C(C(=C42)F)F)C=O)C(=O)NC(=O)NC3=O,aromatic_carbo,C[C@@H]1CN2c3c(cc(C(=O)C(O)c4cc5c(c(F)c4F)N4C[C@@H](C)O[C@@H](C)[C@@H]4C4(C5)C(=O)NC(=O)NC4=O)c(F)c3F)CC3(C(=O)NC(=O)NC3=O)[C@H]2[C@H](C)O1,3,rigid_0-3,maxmin
206083,CC1=CC2=C(C=CC3=C2COC4=C(C(=C(C=C34)Br)C=O)F)NC1(C)C,aromatic_carbo,CC1=Cc2c(ccc3c2COc2c-3cc(Br)c(C(=O)C(O)c3c(Br)cc4c(c3F)OCc3c-4ccc4c3C=C(C)C(C)(C)N4)c2F)NC1(C)C,3,rigid_0-3,maxmin
11280,CC1=C(C2=C(C(=C1O)O)O[C@H]3C4=C(C(=C(C(=C4C(=O)[C@@H]2O3)C)O)O)O)C=O,aromatic_carbo,Cc1c(O)c(O)c(O)c2c1C(=O)[C@@H]1O[C@H]2Oc2c(O)c(O)c(C)c(C(=O)C(O)c3c(C)c(O)c(O)c4c3[C@H]3O[C@@H](O4)c4c(O)c(O)c(O)c(C)c4C3=O)c21,3,rigid_0-3,maxmin
10775,CC(C)C1=C(C2=C(C(=C1)C=O)[C@]3(CC[C@@H](C([C@@H]3[C@@H](O2)O)(C)C)O)C)O,aromatic_carbo,CC(C)c1cc(C(=O)C(O)c2cc(C(C)C)c(O)c3c2[C@@]2(C)CC[C@H](O)C(C)(C)[C@@H]2[C@H](O)O3)c2c(c1O)O[C@@H](O)[C@H]1C(C)(C)[C@@H](O)CC[C@]21C,5,mid_4-7,maxmin
99077,C1=CC(=CC=C1C=O)C2=NN3C(=NC=C3C#CC4=C5C=CNC5=NC=C4C(F)(F)F)C=C2,aromatic_carbo,O=C(c1ccc(-c2ccc3ncc(C#Cc4c(C(F)(F)F)cnc5[nH]ccc45)n3n2)cc1)C(O)c1ccc(-c2ccc3ncc(C#Cc4c(C(F)(F)F)cnc5[nH]ccc45)n3n2)cc1,5,mid_4-7,maxmin
288552,C(=N)C1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)C=O,aromatic_carbo,N=Cc1c(Cl)c(Cl)c(Cl)c(Cl)c1C(=O)C(O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1C=N,5,mid_4-7,maxmin
241362,C1=CC=NC(=C1)C2=C(C=C3C=C4C=CC(=CC4=CC3=C2)C(F)(F)F)C=O,aromatic_carbo,O=C(c1cc2cc3ccc(C(F)(F)F)cc3cc2cc1-c1ccccn1)C(O)c1cc2cc3ccc(C(F)(F)F)cc3cc2cc1-c1ccccn1,5,mid_4-7,maxmin
87465,C[C@@H]1CN(C[C@H](O1)C)C2=C(C3=C4C(=C2C=O)[C@H]([C@H]5COC(=O)N5C4=NO3)OC)F,aromatic_carbo,CO[C@@H]1c2c(C(=O)C(O)c3c(N4C[C@@H](C)O[C@H](C)C4)c(F)c4onc5c4c3[C@@H](OC)[C@H]3COC(=O)N53)c(N3C[C@@H](C)O[C@H](C)C3)c(F)c3onc(c23)N2C(=O)OC[C@H]12,7,mid_4-7,maxmin
248102,COC(=O)C1=C(C(=CN1C2=C(C(=C(C=C2)C=O)Cl)F)C#N)N,aromatic_carbo,COC(=O)c1c(N)c(C#N)cn1-c1ccc(C(=O)C(O)c2ccc(-n3cc(C#N)c(N)c3C(=O)OC)c(F)c2Cl)c(Cl)c1F,7,mid_4-7,maxmin
286690,CC(=O)NC1=CC=CC2=C1C3=NC4=C(C=C(C=C4)N(C)C)N(C3=C(C2=O)C=O)C,aromatic_carbo,CC(=O)Nc1cccc2c(=O)c(C(=O)C(O)c3c4n(C)c5cc(N(C)C)ccc5nc-4c4c(NC(C)=O)cccc4c3=O)c3n(C)c4cc(N(C)C)ccc4nc-3c12,7,mid_4-7,maxmin
35701,CN1CCN(CC1)C2CN(C2)C(=O)C3=CC(=CC(=C3)C=O)Br,aromatic_carbo,CN1CCN(C2CN(C(=O)c3cc(Br)cc(C(=O)C(O)c4cc(Br)cc(C(=O)N5CC(N6CCN(C)CC6)C5)c4)c3)C2)CC1,7,mid_4-7,maxmin
5353,C=CCOC(=O)N1CCCCC2=C(C1)C(=O)OC3=C2C=CC(=C3C=O)O,aromatic_carbo,C=CCOC(=O)N1CCCCc2c(c(=O)oc3c(C(=O)C(O)c4c(O)ccc5c6c(c(=O)oc45)CN(C(=O)OCC=C)CCCC6)c(O)ccc23)C1,7,mid_4-7,maxmin
90555,C1[C@H]2CC(C(C(=O)[C@]2(C(=O)C3=C(C4=C(C=CC(=C4C[C@H]31)C5=CC(=C(C=C5)F)C=O)O)O)O)C(=O)N)O,aromatic_carbo,NC(=O)C1C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)ccc(-c5ccc(F)c(C(=O)C(O)c6cc(-c7ccc(O)c8c7C[C@H]7C[C@H]9CC(O)C(C(N)=O)C(=O)[C@@]9(O)C(=O)C7=C8O)ccc6F)c5)c4C[C@H]3C[C@H]2CC1O,7,mid_4-7,maxmin
11982,C1CC(CNC1)NC(=O)C2=CC=C(O2)C3=CC4=C(C=C3)C(=C(C=C4)O)C=O,aromatic_carbo,O=C(NC1CCCNC1)c1ccc(-c2ccc3c(C(=O)C(O)c4c(O)ccc5cc(-c6ccc(C(=O)NC7CCCNC7)o6)ccc45)c(O)ccc3c2)o1,9,floppy_8-12,maxmin
266387,C1=CC=C(C=C1)C2C(=NN=C3N2C(=O)/C(=C\C4=CC=C(C=C4)C=O)/S3)C5=CC=CC=C5,aromatic_carbo,O=C(c1ccc(/C=c2/sc3n(c2=O)C(c2ccccc2)C(c2ccccc2)=NN=3)cc1)C(O)c1ccc(/C=c2/sc3n(c2=O)C(c2ccccc2)C(c2ccccc2)=NN=3)cc1,9,floppy_8-12,maxmin
112181,C1CC1N2C=C(C(=O)C3=CC(=C(C(=C32)C=O)N4CC5C=CC=CC5(C4)N)F)C(=O)O,aromatic_carbo,NC12C=CC=CC1CN(c1c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c1C(=O)C(O)c1c(N3CC4C=CC=CC4(N)C3)c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c13)C2,9,floppy_8-12,maxmin
6823,C1=CC(=C(C(=C1OC2=CC(=CC(=C2)Cl)F)Br)C=O)S(=O)(=O)C(F)(F)F,aromatic_carbo,O=C(c1c(S(=O)(=O)C(F)(F)F)ccc(Oc2cc(F)cc(Cl)c2)c1Br)C(O)c1c(S(=O)(=O)C(F)(F)F)ccc(Oc2cc(F)cc(Cl)c2)c1Br,9,floppy_8-12,maxmin
109172,CN1C2=C(C=C1C(=O)NC3(CCOC3)C4=C(C=C(C=C4)C=O)F)C(=C(C=C2)Cl)Cl,aromatic_carbo,Cn1c(C(=O)NC2(c3ccc(C(=O)C(O)c4ccc(C5(NC(=O)c6cc7c(Cl)c(Cl)ccc7n6C)CCOC5)c(F)c4)cc3F)CCOC2)cc2c(Cl)c(Cl)ccc21,9,floppy_8-12,maxmin
84819,CC1CN(CCO1)C2=C(C3=C(C=C2C=O)C(=NO3)N4C(COC4=O)C5=NC=NN5C)F,aromatic_carbo,CC1CN(c2c(C(=O)C(O)c3cc4c(N5C(=O)OCC5c5ncnn5C)noc4c(F)c3N3CCOC(C)C3)cc3c(N4C(=O)OCC4c4ncnn4C)noc3c2F)CCO1,9,floppy_8-12,maxmin
217683,CCOCOC1=C(C=CC=C1F)C=O,aromatic_carbo,CCOCOc1c(F)cccc1C(=O)C(O)c1cccc(F)c1OCOCC,11,floppy_8-12,maxmin
3314,CC(=O)N1[C@@H]2[C@H]1[C@@]3([C@H](C4=C(C=C(C=C4OC(=O)C)C=O)N(C2)O3)COC(=O)N)OC(=O)C,aromatic_carbo,CC(=O)Oc1cc(C(=O)C(O)c2cc(OC(C)=O)c3c(c2)N2C[C@H]4[C@H](N4C(C)=O)[C@@](OC(C)=O)(O2)[C@H]3COC(N)=O)cc2c1[C@H](COC(N)=O)[C@]1(OC(C)=O)ON2C[C@H]2[C@@H]1N2C(C)=O,11,floppy_8-12,maxmin
18212,CC1=C(C(=C(C(=C1O)C=O)CC(=O)C)CC=C(C)C)O,aromatic_carbo,CC(=O)Cc1c(CC=C(C)C)c(O)c(C)c(O)c1C(=O)C(O)c1c(O)c(C)c(O)c(CC=C(C)C)c1CC(C)=O,11,floppy_8-12,maxmin
123534,CNCC1=CC2=C(C=C1C=O)[C@@H]3[C@H]4CC[C@H](C4)[C@@H]3C(N2)/C(=C(\C(F)(F)F)/N)/C=N,aromatic_carbo,CNCc1cc2c(cc1C(=O)C(O)c1cc3c(cc1CNC)NC(/C(C=N)=C(/N)C(F)(F)F)[C@H]1[C@@H]4CC[C@@H](C4)[C@@H]31)[C@@H]1[C@H]3CC[C@H](C3)[C@@H]1C(/C(C=N)=C(/N)C(F)(F)F)N2,11,floppy_8-12,maxmin
180653,CC1=CC(=NC(=N1)SCC2=C(C=CC(=C2)C=O)OC)C(F)F,aromatic_carbo,COc1ccc(C(=O)C(O)c2ccc(OC)c(CSc3nc(C)cc(C(F)F)n3)c2)cc1CSc1nc(C)cc(C(F)F)n1,13,very_13+,maxmin
270449,C1CCC(CC1)(C(=O)NC2CCN(CC2=O)C3=CC=CC=C3C=O)NC(=O)C4=CC5=CC=CC=C5O4,aromatic_carbo,O=C(NC1(C(=O)NC2CCN(c3ccccc3C(=O)C(O)c3ccccc3N3CCC(NC(=O)C4(NC(=O)c5cc6ccccc6o5)CCCCC4)C(=O)C3)CC2=O)CCCCC1)c1cc2ccccc2o1,13,very_13+,maxmin
80138,C[C@H]1CO[C@H](N1C2=CC(=CC(=C2N3N=CC=N3)C=O)C)CN4C=C(C=N4)C5=NC=C(C=C5)F,aromatic_carbo,Cc1cc(C(=O)C(O)c2cc(C)cc(N3[C@H](Cn4cc(-c5ccc(F)cn5)cn4)OC[C@@H]3C)c2-n2nccn2)c(-n2nccn2)c(N2[C@H](Cn3cc(-c4ccc(F)cn4)cn3)OC[C@@H]2C)c1,13,very_13+,maxmin
