index,SMILES,PubChem_CID
44682,C(C=O)N=CN,54256021
173214,C(=O)[C]Cl,134874374
276222,C=CC=C=CC=O,13070334
16968,CC(C)CCO[C@@H]1C=CC(=O)[C@H](O1)CN2C=C(N=N2)CCCC=O,90682121
179134,C1=CC=C(C(=C1)C=O)NC2C3=CC=CC=C3N4[C@H]5C6=CC=CC=C6N2C4C7=CC=CC=C7N5,164680075
112197,C1C(CN(C1C(=O)NC2=CC=NC(=O)N2)C(=O)CN3C4=C(C=C(C=C4)C5=CN=NC=C5)C(=N3)C=O)F,148354792
150528,C1=CC=C2C(=C1)C3=CC(=NC=C3N2)C4=NNC(N4C5=CN(C6=C5C=C(C=C6)F)CCCN)C=O,175239674
84611,CCCC(C1CCN(CC1F)COC(C)(C)C)C(C)C2=C(C(=CS2)C=O)C,123403986
55038,C1CC(C1)N2CCC(C(C2)F)OC3=NC4=C(S3)CN(CC4)CCC=O,87073154
144764,C1=CC=C(C(=C1)NC(=S)NNC(=O)CC(C=O)C(NC2=NC=CS2)S)F,174556088
222119,CC1CCCC(C1)(CN(C)CC(F)F)C=O,116317518
93250,C1=CC=C(C(=C1)CN=C(CC(C2=NC(=C(C(=O)N2)C(F)(F)F)F)N)C(CC=O)N)F,137037337
249181,C1C(CN(C1=O)C2=NC(=C(S2)C=O)Cl)CS(=O)(=O)F,168677804
34725,C#C[C@@](CO)(C=O)O,151299716
153842,CC(C)(C)C1=C(C=C(C=C1)NC2C(CC(=O)N2C(C=O)C3=CC4=C(C=C3)N(C=C4)C)C(=O)N)F,175977042
98426,CC1C(C(=NN1CC=O)C(F)(F)F)(N2CCN(C(C2)OC)Cl)Br,141224622
6442,CC(C)[C@H](C=O)[C@H]1[C@@H](CCN1C(=O)C2=COC(=N2)CN3CCCC3)NS(=O)(=O)C,23585889
284470,C1=C2C(=CC(=C1Cl)Cl)N=C(N2)C3=CC(=C(S3)C=O)Br,18426860
167838,CCC[C@@H]1[C@H]([C@@H]2C3=CC=CC=C3C=NN2C1(C#N)C#N)C=O,101552413
105867,C1CC1N2C=C(C(=O)C3=C2C(=C(C=C3)C4=CC5=C(CCNC5)C=C4)OC(F)F)C=O,144260245
109405,C1=CC=C(C(=C1)CN2C(=CC(=N2)C3=NC(=C(C(=N3)Cl)F)NCC(C=O)O)C4=NOC=C4)F,145438841
178601,C[C@H]1CCC[C@@H]([C@]1(C)C=O)CC2=CN=CO2,162401467
136950,C1COCCN1CCCOC2=C(C(=CC(=C2NCC3=CC=C(C=C3)F)N)C(=O)N)NCCCC=O,171062236
37301,COC[C@H]([C@H]([C@@H]([C@H](C=O)OC)OC)OC)OC,10729334
66710,C1=C(C(C(C(C1(C(F)(F)F)Cl)C(F)(F)F)(Cl)Cl)C=O)Cl,88512436
151332,C1=CC=C2C(=C1)C(N(C=N2)CCSC3=NN=C(O3)COC4=CC=C(C=C4)F)C=O,175323834
170644,C1CN=C(N1)SCC=O,129787934
150340,C1C=C(C=CC1(F)Cl)CCCC=O,175206861
128076,CC1(CNCCC1(F)F)C2=CC=C(C=C2)N=CC3=C(C(=CC=C3)C=O)N,166763721
241063,CNCC1=CC=C(O1)CSCC=O,139596074
63152,CN1C2=C(C(=O)N(C1=O)C)N(C(N2OC(=O)C(F)(F)F)N3CCNCC3)C4=CC=CC=C4C=O,87883646
68478,CC1=CSC(=N1)S(=O)(=O)N(C[C@H](C)F)C2=C(C=C3CCCC3=C2)OCC4=NC=C(C=N4)C=O,88911109
83864,C[C@H](C1=CC=C(C=C1)F)N2C=NC=C2CN3CCN(C(C3)C4=CC=C(C=C4)N(C)C)C5CC5(C)C=O,122603471
86301,CNC1=NC2=C(N1C(C=O)(C(F)(F)F)NC(=O)CCC3CCCC3)C=CC(=C2Cl)Cl,126536367
105802,C1=CC2=C(C=C1/C=C\3/C(=O)NC(=NCC=O)S3)C=NN2CC4=C(C=C(C=C4)Cl)C(F)(F)F,144237543
124804,C[C@@H](C(=C)NC1=CC=CC(=N1)C2=CN=C(N=C2)C(C)(C)F)N3C=NC4=C3C(=O)N(C(=O)N4C)CC=O,163412455
168996,C/C(=C\CC(C)(C)C=O)/C=C/C1=C(C2=C(C=C1)NC(=O)[C@@H]([C@]2(C3=CC=C(C=C3)OC)O)OC)O,123131763
16938,CC1=NN=C(S1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)CN4C=CC=C4C=O)SC2)C(=O)O,90673404
113729,CC(C)([C@@H](CN(C1CC(C1)C=O)C2=CC(=NC=C2C(=O)N)C3=CC=C4N3N=CC(=C4)C#N)F)O,153517250
3131,CC1=C(N2C=CC=CC2=N1)C3=NC(=NC=C3)NC4=CC=C(S4)C=O,44820215
4976,C1CN(CCC1C=O)C(=O)[C@H](CC2=CC(=CC=C2)C(=N)N)NS(=O)(=O)C3=CC4=CC=CC=C4C=C3,44362435
16980,CC1(C=CC2=C(O1)C=CC3=C2OC=C(C3=O)C4=CC=C(C=C4)C=O)C,118706977
