index,SMILES,PubChem_CID,sel_method
46525,C1=CC(=CC(=C1)F)C2=NC3=C(C=CC=C3Cl)N=C2C=O,57707876,representative
233249,C1=C(C(=C(C(=N1)C(F)F)CCl)C=O)I,130087515,representative
51243,CC1=C(N=C(C=C1)C=O)F,72213259,representative
213466,C1=CN(C(=C1)C=O)CC2=C(C=CC(=C2)F)C#N,107906564,representative
233523,C1=C(C=C(N=C1C=O)C#N)OC(F)(F)F,130091933,representative
226666,C1=C(C(=C(N=C1C(F)F)CN)I)C=O,118808748,representative
179093,COCN1C2=CC=CC=C2C(=C1C3=CC=CC4=CC=CC=C43)C=O,164675682,representative
195328,C1CC1OC2=CN=C(C=C2C=O)C(F)(F)F,72232814,representative
205666,CCN1C=CN2C(=C(C(=N2)C3=CC(=CC=C3)F)C=O)C1=O,97628278,representative
269094,CC1=CC(=C2C(=C1)C(=C(N2)C3=CC=C(C=C3)Cl)C=O)C,3830645,representative
170058,CN1C=C2CCC3=C(C2=C(C1=O)C=O)C=CC(=C3)OC,129723609,representative
190817,C1=C(SC(=C1)C2=C(C(=CC(=C2)F)F)F)C=O,62812028,representative
42644,C1C2=C(C(=NC=C2C(O1)C3=CC=C(C=C3)F)C=O)OCC4=CC=CC=C4,23326493,representative
250088,C1CC(CCC1NC2=C(C=CC=C2F)C3=CC=C(O3)C=O)O,169335453,representative
203682,C1=CC(=CC(=C1)F)C2=NC=C3N2C=C(C=C3)C=O,84736960,representative
208745,C1CC2=C(C1F)C(=NN2)C=O,105430032,representative
279028,C1=CC=C2C(=C1)C=C(C(=N2)C=O)CO,14643985,representative
21446,CC1=NC2=CC=CC=C2C(=C1O)C=O,25161114,representative
94641,C1=CC2=C(C(=C1)C(=O)C(F)(F)F)SC=C2C=O,138593792,representative
222026,C1COCC1C2=NN(C=C2C=O)C3=C(C=C(C=C3)F)F,116176278,representative
229933,C1=CSC(=C1)C2=NN(C(=C2)C=O)C(F)F,121211142,representative
229275,C1=C(C(=C(C(=N1)Br)C(F)F)F)C=O,119008754,representative
72331,C1=CC(=C(C=C1C(F)(F)F)C2=C(NN=C2)C=O)C(=O)O,89326331,representative
159740,COCN1C=C(C=C1C=O)C(=O)OC,602853,representative
194605,C1=CN(C(=C1)C=O)CC2=C(C=CC(=C2)Br)F,66408562,representative
231918,COC1=C(C(=CC(=N1)Cl)C(F)F)C=O,130073907,representative
238393,C1=CC(=CC(=C1)OC(F)(F)F)C2=C(N=CC(=C2)Cl)C=O,134629705,representative
159691,CC1=C(NC=C1C=O)C,578968,representative
44527,CC1=C(N=C(C(=C1C2=CC=C(C=C2)F)C=O)C3CC3)C,54142263,representative
258220,CC(C)(C)OC(=O)C1=CC(=CC(=C1)C2=CC=C(S2)C=O)F,172650986,representative
233273,C1=C(C(=C(C(=N1)C=O)C(F)F)CCl)I,130087539,representative
230283,C[C@@H](C1=CC=CC=C1F)N2C=CC=C2C=O,124432892,representative
2198,CCCN(CCC)[C@H]1CCC2=CC(=C3C(=C2C1)C(=CN3)C=O)F,10064361,representative
208229,C1=CC(=CC=C1CN2C=C(C(=N2)C3=CC=C(O3)Br)C=O)F,104653645,representative
167758,CN1C2=C(N=C1C3=CC=C(S3)C=O)N(C(=O)N(C2=O)C)C,101499773,representative
55064,CC(=O)N1CC2CCCN2C3=C(C=C4C(=C3C1)N(C=C(C4=O)C=O)C5CC5)F,87075209,representative
181638,CC(C)C1=CC=CC2=C1NC(=C2C=O)C3=C(C=CC(=C3)F)OC,4257272,representative
155081,CC(C)(C)C1=CN=C(C(=C1OC(=O)N)F)C=O,176357290,representative
155285,CC1=CC=C(C=C1)C2=CC(=NC3=C2C=CC4=NC(=C(N43)C=O)C5=NN=CO5)C(C(F)(F)F)(F)F,176393569,representative
277834,C1=CC=C2C=C3C(=CC2=C1)C(=O)C(=CO3)C=O,13874546,representative
68082,C1=CC(=C2C(=C1)SC(=C2Cl)C=O)C(F)(F)F,88879331,representative
83764,C1=CC=C(C(=C1)C(C2=C(N=C3N2N=C(C=C3)Cl)C=O)O)OC(F)F,122538400,representative
232463,C1=C(N=C(C(=C1C=O)C(F)F)C#N)CCl,130079129,representative
27686,C1=CC=C2C(=C1)C(=CN2O)C=O,11182778,representative
164761,C/C=C\1/[C@@H]2C[C@@H](C3=C([C@@H]2C(=O)OC)C4=CC=CC=C4N3)N5C1=CC=C5C=O,16215340,representative
120821,C1=CN=C(C=C1CC2=CC(=CC(=C2)F)C(F)(F)F)N3C=CC(=N3)C=O,156852752,representative
203363,C1=CC(=CC=C1C2=C(N=C(S2)Cl)C=O)F,84702803,representative
227081,CC1=NC(=CC(=C1F)C(F)F)C=O,118817633,representative
14959,CCC1=NOC=C1C=O,83478669,representative
156811,CC(C1=CC(=C(C=C1)CBr)F)N2C=CC3=CC(=CN=C32)C=O,177221121,representative
233058,C1=C(C(=C(C(=N1)C=O)O)C(F)(F)F)C(F)F,130085430,representative
33780,CC(=O)OC1=C(OC=C1)C=O,129641495,representative
20266,C1=CC2=NC(=C(N2C=C1)C=O)C3=CC=C(C=C3)Cl,2757793,representative
68074,CC1=C(SC2=C(C=CC(=C12)F)Cl)C=O,88879303,representative
154235,C1=C(SC(=C1)C2=CC(=C(C(=C2F)O)F)F)C=O,176122447,representative
34707,C1=CC=C2C(=C1)C(=C(N2)C=O)C3C4=C(C=CC(=C4)O)C(=O)N3,146167951,representative
179966,C1=COC(=C1)C2=C(OC=C2)C3=C(C=CO3)C=O,175665154,representative
212435,C1=C(C(=C(C(=C1F)F)N2C=C(N=N2)C=O)F)F,107646917,representative
237478,C1=CC(=C(C(=C1)F)F)C2=C(N=C(C=C2)C3=C(C(=CC=C3)F)F)C=O,133093672,representative
87067,CCON1C(=CC(=N1)C(F)(F)F)C=O,129024519,representative
239703,C1=C(N=C(C(=C1C(F)F)OC(F)(F)F)C=O)CBr,134665178,representative
227884,COC1=C(N=C(C=C1C=O)OC(F)(F)F)CN,118836800,representative
234653,C1=CC(=C(C=C1Cl)N2C=C(C=N2)C=O)F,130121424,representative
163630,CC(=O)OC1=C(NC(=C1)C2=CC=CC=C2)C=O,12407967,representative
211673,C1=COC(=C1C2=CC(=C(C=C2F)F)F)C=O,106886579,representative
22415,C1COC2=C(O1)C=CC(=C2)C3=NN(C=C3C=O)C4=CC=C(C=C4)Cl,3854094,representative
234637,CCC1=C(C=C(C=N1)C(F)(F)F)C=O,130115639,representative
193115,C1=CC(=C(C=C1F)F)N2C=C(C(=N2)C3=NC=CN=C3)C=O,64196561,representative
38267,C1CSC2=NC(=C(N21)C=O)C3=CC=C(C=C3)F,15130152,representative
9049,CN1C2=CC=CC=C2C(=C1C=O)C#CC3=CC=CC=C3,12026524,representative
38244,CN1CCC2=C(C=CC3=C2C(=C(O3)C=O)C1)F,15096085,representative
138193,CC1=CC(=NN1C2=NC=C(C(=N2)C=O)NC3CCC(C3)(F)F)C,172157007,representative
128951,CC1=C(N=C(N1C2=CC(=C(C=C2)N)C(=NC)C)C3=CC(=C(C=C3)C#N)F)C=O,166907909,representative
165856,CNC(=O)CN1C=C(C=C1C2=CC=CC=C2)C=O,57385215,representative
181215,CC1=CC(=CC2=C1NC(=C2C=O)C3=CC=C(C=C3)C(F)(F)F)Cl,3601583,representative
118417,C[C@@H](CNC(=O)OC(C)(C)C)OC1=C(C=C(C=C1)F)[C@@H](C)N2CCCC3=CN4C(=C(C=N4)C=O)N=C32,156082116,representative
11036,C1=CC2=C(C(=C1)C(F)(F)F)N=C(C=C2C=O)C(F)(F)F,12254569,representative
264325,C1C2=CC=CC=C2N3C1=C(C(=N3)C4=CC=CC=C4)C=O,10422723,representative
226406,C1=C(C(=NC(=C1C(F)F)C=O)CN)C#N,118802950,representative
55628,C1=CC(=NC(=C1)C2=CC=C(C=C2)OC3=CC=C(C=C3)F)C=O,87160245,representative
