index,SMILES,PubChem_CID
79877,C1C(CN1C(=O)C2=C(C=CC(=C2)C=O)F)NC3=NN=CC=C3,117955816
52233,C1=CC(=C(C(=C1)F)CF)C=O,84650302
169564,C([C@H](C(=O)[C@H](C=O)O)O)O,129668275
46082,C1=CC(=NC=C1C=O)CF,57367266
44261,C1=CC(=C(C=C1Cl)OCF)C=O,53956927
280552,C1=CC=C(C=C1)S(=O)CC=O,15397472
172293,C[C@]12CCC[C@]([C@@H]1[C@H]([C@@]([C@@H]2CC(=O)C3=COC=C3)(C)C=O)O)(C)C(=O)OC,132584533
66533,C1[C@H]([C@@]1(C=O)F)C2=CC(=C(C=C2)Br)Br,88462299
223479,C1=CC(=CC(=C1)F)C2=NN=C3N2C(=CC=C3)C=O,117141168
233086,COC1=NC(=C(C(=C1)I)C(F)F)C=O,130085765
93146,CN1C(=CC(=N1)C(=O)NCC=O)C2=CC3=C(N2)C=CC(C3)F,136472482
195465,C1=CC(=C(C=C1S(F)(F)(F)(F)F)C=O)Cl,73995187
97012,C1=CC=C(C(=C1)C=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,140201506
238714,C1=CC(=C(C(=C1C(F)(F)F)C=O)S(=O)(=O)Cl)C(F)(F)F,134638758
196996,C1=CC(=NC=C1C=O)OC2=CC(=CC(=C2)F)F,80631633
275066,CSC1=CC(=C(C=C1)O)C=O,12433397
211291,COCCSC1=CC(=CC(=C1)F)C=O,106533621
40340,CC1=C(C(=C(C=C1C=O)F)SC)C,20628688
227625,C1=C(C(=C(C(=N1)I)C=O)C(F)F)I,118829975
193923,C1=C(SC(=C1)C2=C(C=C(C=C2F)F)F)C=O,65656470
94883,CONC1=C(C=C(C=C1)OCC=O)F,138699263
110738,COC1=C(C=CC(=C1)S(F)(F)(F)(F)F)C=O,146322672
10310,C1=CC(=CC(=C1)C(F)(F)F)C(=O)NCC=O,52941965
221685,C1CC2CN(CC2C1)C3=C(C=C(C=C3)F)C=O,115560388
165349,C[C@H]1C[C@H]([C@@H]([C@H](C1)O)C=O)C,45083188
43168,C1=CC(=C(C=C1C(=O)CC=O)Cl)F,43114830
250574,CC(C)(C)OC(=O)NCC=CC1=CC(=C(C=C1F)C=O)F,169467824
209919,C1=CC=C(C(=C1)C(CC=O)(F)F)C(F)(F)F,105500044
112387,C1=CC(=C(C=C1C=O)C(F)(F)F)N=[N+]=[N-],149738925
213050,C/C=C/COC1=C(C=C(C=C1)F)C=O,107697602
20633,C1=CC=C(C=C1)COC2=C(C(=CC=C2)OCC3=CC=CC=C3)C=O,11726890
209832,COC1=C(C=C(C=C1)SC)C(C=O)(F)F,105490675
163546,[2H]C1=C(SC(=C1)C=O)[2H],12198203
23561,CC(C)(C)OC(=O)N1CC(C1)(C=O)C2CC2,166432670
143685,CN1CCN(C1=O)C2=C(C=C(C=C2)N3C[C@@H](OC3C=O)CO)F,174485004
102059,C=CCC(CC=C)(C=O)F,142907651
208809,C1=CN2C(=NN=C2C(=C1)F)C=O,105432547
124898,C1CCC(CC1)C[C@@H](C(=O)N[C@@H](C[C@@H]2CCNC2=O)C=O)N3C=CC(=CC3=O)F,163513431
37599,C1=CC(=CC(=C1)C=O)C=C(F)F,11593499
166865,[2H]C(=O)C([2H])([2H])CCCCCC,90924043
96667,CC(=C)C(=O)OCC(C=O)C(=O)OC1=CC=C(C=C1)OC(F)(F)F,140027333
1581,C1=C(C=C(C=C1C(F)(F)F)C(F)(F)F)C=O,136247
53509,C1=CC(=C(C=C1Br)C=O)C(F)(F)Br,86633501
146512,CSC1=C(C=C(C=C1)C(CBr)C=O)F,174661998
149066,C1C(N(C2=C1C=CC(=C2)C(F)(F)F)C(F)(F)F)C=O,174937158
175424,C1C2C=CC1C3[C@H]2C3(C=O)C4=CC=CC=C4,135038051
250456,CC(=O)SCC=CC1=CC(=C(C=C1F)C=O)F,169457532
8523,CC1=NN=C(N1C)C=O,55253659
301,C1=CC(=CC(=C1)C(F)(F)F)C=O,67990
258716,C1=CC(=C(C=C1C2=CC(=C(C=C2C=O)F)F)Cl)F,172909479
229669,C1=C(N=C(C(=C1I)OC(F)(F)F)CF)C=O,119021564
224676,CC(CC=O)C1=C(C=C(C=C1)SC)F,117303194
275792,C1=CC(=CC=C1[N+](=O)[O-])SCC=O,12867562
231135,COC1=CC(=NC=C1C=O)F,129917897
84514,[C-]#[N+]C1=CC(=CC(=C1)F)OC2=C(C=C(C=C2)C=O)F,123349988
219078,C1C(OC2=C1C=C(C=C2)F)CN3C=C(N=C3)C=O,113868931
96226,CC=CCN1C(=CC(=N1)C=O)C(F)(F)F,139674929
20148,C1=CC=C(C(=C1)C=O)N=O,542808
82510,COC1=C(C=C(C=C1)[C@@H](COCC=O)N)F,121428625
256469,CC(=O)C1=CC(=C(C(=C1)OC(F)F)I)C=O,171032053
38074,CC(C)C1=NN=C(C(=C1C=O)C2=CC=C(C=C2)F)C3=CC=C(C=C3)F,14461248
65708,CC(=O)NC1=CC(=C(C=C1)C(=O)NCC(=O)N2CCC[C@H]2C=O)F,88275011
163666,COC1=CC(=C(C(=C1C=O)O)O)OC,12494699
33059,CNC(=O)/C=C/C1=CC=C(C=C1)C=O,88538962
18852,CC(=O)N[C@@H](CC1=CC=CC=C1)C=O,193217
26521,COC1=C(C=C(C(=C1)[N+](=O)[O-])C=O)[N+](=O)[O-],72942909
233196,C1=C(N=C(C(=C1I)C(F)F)CBr)C=O,130087150
171657,C1=C(N=NC1=O)CCC=O,129871401
14004,C1=CN=C2C(=C1C=O)N=CC=N2,42281362
238565,C1=CC(=C(C=C1SC(F)(F)F)CCC=O)I,134638513
37949,CC(C)(COC(=O)C=C)C=O,13651710
244179,C1=CC(=CC=C1C2=C(C=C(C=N2)C(F)(F)F)C=O)C(F)(F)F,165343259
14993,C1=CN2C=NC=C2C=C1C=O,83826304
190797,C1=CC(=C(C=C1[N+](=O)[O-])C=O)OC2=CC(=CC(=C2)F)F,62783939
142600,C[C@@H](C=O)NC(=O)CCC(=O)C1=CC=C(C=C1)F,174379190
166389,C1C2C=CC1C3C2C=CC3CC=O,85157113
195856,CCCOC1=CC(=C(C=C1)C=O)OCCF,79035552
210938,CC1CCC(N(C1)C2=CC(=CC(=C2)C=O)F)C,106529309
218773,C1=CC(=C(C=C1C=O)Cl)OCC2=CC(=CC(=C2)F)F,113712861
275616,C1CC(=O)C=CC1C=O,12794100
175604,C1=CC=C(C=C1)C(CC(=O)CC=O)C2=CC=CC=C2,135052732
203418,C1CC(C1CF)C=O,84716006
116246,C1CC(NC(C1N2C(C3=CC(=C(C=C3C2O)F)N4CC5C(C4)C5C=O)O)O)O,155212809
39349,CSC1=CC=CC(=C1C=O)F,19007532
278491,CN1C=CC(=C1C=O)/C(=C\OC)/C(=O)OC,14326191
142234,C1=CC=C(C=C1)COC2=C(C(=C(C(=C2)C=O)F)F)I,174321693
133284,CNCCNC1=CC(=NC=C1C#N)NC(=O)N2C3CC(C3)(C4=C2N=C(C=C4)C=O)F,169567736
226251,C1=C(N=CC(=N1)OC(F)(F)F)C=O,118798299
235238,C1=CC(=C(C=C1C#N)C=O)C(F)(F)F,130882130
31509,C1=CC(=C(C=C1S)C=O)[N+](=O)[O-],54341187
198114,CC1CCC(N(C1)C2=CC(=C(C=C2)C=O)C(F)(F)F)C,81646579
27953,C1=CC(=CC=C1C=O)N=O,11768628
272718,C1=CC=C(C=C1)CO/N=C/C2=CC(=CC=C2)C=O,11195793
203589,CC(C)(C)OC(=O)NCC(C)(C=O)C1=CC=CC=C1F,84730501
83123,C1=CC(=CC(=C1)C=O)/C=C/C2=CC=C(C=C2)F,122476199
166589,C1=CC(=C(C=C1C=O)N=[N+]=[N-])[N+](=O)[O-],86009304
33622,CCOC(=O)/C=C/C1=CC=C(N1C)C=O,122163598
20903,C1C2CC3CC1CC(C2)(C3)C4=CC=C(C=C4)C=O,15355855
178021,COC(=O)C1=CC(=C(C(=C1)I)C=O)I,154707608
200240,C1=CC=C(C(=C1)C(F)(F)F)N2C(=CN=N2)C=O,82363717
20524,CC(CSC1=CC=CC=C1)C=O,11073998
138777,CCOC(=O)/C=C/OC1=C(C=CC(=C1)C(F)(F)F)C=O,172392936
36337,CCOC1=C(C=CC(=C1)C=O)OC(=O)C(F)(F)F,39199906
276852,CSC1=C2C=CC=CC2=C(C3=CC=CC=C31)C=O,13375392
203149,CN1C=C(N=C1C=O)C2=CC=C(C=C2)F,84672147
239290,CCOC(=O)CC1=C(C=C(C=C1C#N)SC(F)(F)F)C=O,134653901
78340,COC(=O)COC1=C(C=C(C=C1)C=O)F,103850154
151059,CN1CC2=C(C=CC(=C2C1C=O)NC3=NC(=NC=C3)C(F)(F)F)C4CCC(CC4)O,175285069
192274,CN1C(=NN=N1)SC2=C(C=C(C=C2)F)C=O,63802517
162845,C/C=C(\C)/C[C@H](C)C=O,11228800
272328,C[C@@H]1CC[C@H](N1C(=O)OCC2=CC=CC=C2)C=O,11032197
7490,C1=C(OC(=C1)C(F)(F)F)C=O,7537665
194772,C1=CC(=NC(=C1)F)C2=CN=CC(=C2)C=O,71303550
245774,CC(C)(C)OC(=O)NC(C)(C=O)C1=C(C=C(C=C1)[N+](=O)[O-])F,165678302
63366,C=C1CC(C(C1)C2=CC(=CC=C2)F)C=O,87907046
84092,C1=CC=C(C(=C1)N=NCC=O)F,123159704
25286,C=CCC(CC=C)(C=O)C1=CC=C(C=C1)C(F)(F)F,176434193
178423,COC(=O)/C(=C/C1=CC=CC=C1C=O)/CC=C,155933373
