feat,frac_na,n_unique,std,min,max,range,top_val_frac
donor_G_xtb,0.0,30919,19.63137607352759,-113.599708081028,-13.740201578464,99.859506502564,0.00014073406890340013
donor_G_gxtb,0.0,30919,793.9705321006892,-10908.672937235113,-209.14419212794093,10699.528745107173,0.00014073406890340013
donor_xtb_energy,0.00036590857914884034,30906,19.71010125860533,-113.714770791093,-13.77371445989,99.941056331203,0.00014078558355624384
donor_xtb_HOMO,0.00036590857914884034,16586,0.5863175235592831,-13.567,-8.2295,5.3375,0.00030972828382373643
donor_xtb_LUMO,0.00036590857914884034,17157,0.6314092891328357,-11.2298,-4.992,6.237799999999999,0.00030972828382373643
donor_xtb_gap,0.00036590857914884034,16073,0.5620644312219939,0.1235,4.8207,4.6972000000000005,0.000366042517246234
donor_xtb_IP,0.0006473767169556407,18370,0.7312374609707466,5.6189,12.0096,6.390700000000001,0.00030981551894099425
donor_xtb_EA,0.0005910830893942806,18753,0.8041354555726249,-3.5359,3.9486,7.4845,0.0003097980679865942
donor_xtb_mu,0.0008725512272010808,21791,0.5808271097341083,-7.0799,-2.27845,4.801450000000001,0.0003098853424233034
donor_xtb_eta,0.0008725512272010808,20155,0.503386351824183,2.1697,6.005,3.8352999999999997,0.00025354255289179365
donor_xtb_omega,0.0008725512272010808,30696,0.7929188323023043,0.478926,8.289378,7.810451999999999,0.0001690283685945291
donor_xtb_dipole,0.00036590857914884034,8859,2.2583622783300146,0.105,22.678,22.573,0.0005068281008024779
donor_mulliken_CHO_C,0.0003940553929295204,17705,0.0077683530348202166,0.137208,0.34887,0.21166200000000002,0.00033789491468153406
donor_mulliken_CHO_O,0.0003940553929295204,26033,0.02869722666984878,-0.591837,-0.189562,0.40227499999999994,0.00019710536689756153
donor_fukui_plus_CHO_C,0.0009006980409817609,24012,0.026734966538343584,-0.014866,0.173977,0.18884299999999998,0.000225377507324769
donor_fukui_minus_CHO_C,0.000985138482323801,13604,0.004162275286096926,-0.022233,0.030891,0.053124,0.000366269405234835
donor_fukui_0_CHO_C,0.000985138482323801,19611,0.013808531907657927,-0.016407,0.099628,0.116035,0.00030992026596793733
donor_dual_descriptor_CHO_C,0.000985138482323801,24107,0.026472570332355085,-0.021724,0.173755,0.19547899999999999,0.0002817456963344885
donor_wbo_CO,0.0003940553929295204,28150,0.05461685859240609,1.407686,2.043837,0.6361509999999999,0.00022526327645435603
donor_pa_CHO_O,0.002870975005629363,29872,15.069184383404245,-26.2945,132.0167,158.31119999999999,0.00019759498673290802
donor_vbur_CHO_C,2.8146813780680027e-05,18733,6.217182798051849,37.6613,82.1352,44.4739,0.0005629521209221156
donor_sterimol_L,2.8146813780680027e-05,24896,2.6037349848280655,3.8258,26.4681,22.6423,0.0003940664846454809
donor_sterimol_B1,2.8146813780680027e-05,12396,0.49708450635450496,1.52,5.2938,3.7738,0.021054409322487123
donor_sterimol_B5,2.8146813780680027e-05,25554,2.5247045249296294,2.7415,25.9921,23.250600000000002,0.000253328454414952
donor_SASA_total,0.0,30723,116.80067372395267,201.5583,958.9139,757.3556,0.00014073406890340013
donor_P_int,0.0,22841,1.3498671778966564,12.2478,23.995,11.747200000000001,0.00022517451024544022
donor_bde_gxtb_kcal,0.03039855888313443,19017,10.21940536883041,-27.016,136.338,163.35399999999998,0.00031932187645146307
acceptor_G_xtb,0.0,30850,19.70174567703264,-113.599708081028,-13.740201578464,99.859506502564,0.00014073406890340013
acceptor_G_gxtb,0.0,30850,784.9479592139962,-10908.672937235113,-209.14419212794093,10699.528745107173,0.00014073406890340013
acceptor_xtb_energy,0.00036590857914884034,30837,19.780537810066058,-113.714770791093,-13.77371445989,99.941056331203,0.00014078558355624384
acceptor_xtb_HOMO,0.00036590857914884034,16542,0.585925123975095,-13.567,-8.2295,5.3375,0.00030972828382373643
acceptor_xtb_LUMO,0.00036590857914884034,17120,0.6301694665090997,-11.2298,-4.8024,6.4274,0.00030972828382373643
acceptor_xtb_gap,0.00036590857914884034,16080,0.5633751217380556,0.1235,4.8207,4.6972000000000005,0.0003941996339574828
acceptor_xtb_IP,0.0006473767169556407,18314,0.7308446517501254,5.6189,12.0096,6.390700000000001,0.0002816504717645402
acceptor_xtb_EA,0.0005910830893942806,18695,0.8044973289058185,-3.6463,3.9486,7.5949,0.0003661249894387022
acceptor_xtb_mu,0.0008725512272010808,21744,0.5795361204464249,-7.0799,-2.083,4.9969,0.0003098853424233034
acceptor_xtb_eta,0.0008725512272010808,20159,0.5048755084535345,2.1697,6.005,3.8352999999999997,0.00025354255289179365
acceptor_xtb_omega,0.0008725512272010808,30622,0.791453119828006,0.378658,8.289378,7.9107199999999995,0.00014085697382877426
acceptor_xtb_dipole,0.00036590857914884034,8879,2.26920919729079,0.105,22.678,22.573,0.0005349852175137266
acceptor_mulliken_CHO_C,0.0004222022067102004,17737,0.007952439906102605,-0.027114,0.34887,0.375984,0.0003379044293638949
acceptor_mulliken_CHO_O,0.0004222022067102004,26006,0.028782135969549125,-0.591837,-0.111647,0.48018999999999995,0.0001971109171289387
acceptor_fukui_plus_CHO_C,0.0009288448547624409,23986,0.026767722753478072,-0.015086,0.173977,0.18906299999999998,0.00022538385688125088
acceptor_fukui_minus_CHO_C,0.001013285296104481,13568,0.004204037928562572,-0.022233,0.127819,0.150052,0.0003662797250084526
acceptor_fukui_0_CHO_C,0.001013285296104481,19612,0.01383520957528413,-0.016407,0.103504,0.119911,0.0002817536346218866
acceptor_dual_descriptor_CHO_C,0.001013285296104481,24026,0.02649623569311576,-0.04863,0.173755,0.222385,0.00025357827115969796
acceptor_wbo_CO,0.0004222022067102004,28141,0.05481686686974833,1.407686,2.043837,0.6361509999999999,0.00022526961957592995
acceptor_pa_CHO_O,0.0027583877505066427,29813,15.077086710244469,-26.2945,140.8394,167.1339,0.00019757267852102737
acceptor_vbur_CHO_C,5.6293627561360054e-05,18709,6.205825180115815,33.2242,82.1352,48.910999999999994,0.0005348195687665372
acceptor_sterimol_L,8.444044134204009e-05,24900,2.607131486348548,3.8258,26.4681,22.6423,0.0003377902885292048
acceptor_sterimol_B1,8.444044134204009e-05,12420,0.4986433967565182,1.52,5.2938,3.7738,0.021027445460942998
acceptor_sterimol_B5,8.444044134204009e-05,25516,2.523890248477795,2.7415,25.9921,23.250600000000002,0.00022519352568613652
acceptor_SASA_total,0.0,30657,117.05756496999291,201.5583,958.9139,757.3556,0.00014073406890340013
acceptor_P_int,0.0,22837,1.3569134790425275,12.2478,23.995,11.747200000000001,0.00022517451024544022
acceptor_bde_gxtb_kcal,0.03065188020716055,19028,10.20866195089084,-27.016,136.338,163.35399999999998,0.000290368477598072
xtb_energy,0.0,35528,28.696132246391596,-214.762260091062,-50.913933583844,163.848326507218,2.8146813780680027e-05
xtb_HOMO,0.0,16836,0.5221628780901288,-12.2658,-8.2851,3.9807000000000006,0.00028146813780680026
xtb_LUMO,0.0,17250,0.5570846421400464,-10.6002,-5.7986,4.801599999999999,0.00028146813780680026
xtb_gap,0.0,17770,0.5844289110072972,0.0664,4.2388,4.1724000000000006,0.00028146813780680026
xtb_IP,0.0,17116,0.5396232084632246,5.324,9.737,4.413,0.00028146813780680026
xtb_EA,0.0,17522,0.5721847282481884,-1.7603,3.9154,5.6757,0.00028146813780680026
xtb_mu,0.0,21489,0.437187363097706,-6.2991,-2.48465,3.8144500000000003,0.00022517451024544022
xtb_eta,0.0,19241,0.34374626503276157,1.45765,4.95855,3.5008999999999997,0.00028146813780680026
xtb_omega,0.0,35260,0.7325759144624682,0.814519,9.515577,8.701058,5.6293627561360054e-05
xtb_dipole,0.0,11369,3.0084521037970657,0.178,27.142,26.964,0.0004222022067102004
mulliken_ketC,0.0,22601,0.012141727908601237,0.085145,0.366476,0.281331,0.0001970276964647602
mulliken_ketO,0.0,29037,0.02740273633427233,-0.593554,-0.15757,0.43598400000000004,0.00016888088268408017
mulliken_carbC,0.0,19225,0.008985457383524681,0.039812,0.363035,0.323223,0.00025332132402612026
mulliken_hydO,0.0,22117,0.010771718904593594,-0.504318,-0.211939,0.29237900000000006,0.00022517451024544022
mulliken_hydH,0.0,18579,0.007308508591226538,0.285557,0.392288,0.10673100000000002,0.00028146813780680026
wbo_CO_ket,8.444044134204009e-05,31983,0.05550479217493445,1.327753,1.962567,0.634814,0.00011259676284306826
wbo_CC_new,8.444044134204009e-05,26541,0.019175368643189555,0.715748,1.634714,0.918966,0.00019704433497536947
wbo_CO_carb,8.444044134204009e-05,21887,0.011001300585412562,0.8829,1.236166,0.3532660000000001,0.00022519352568613652
fukui_plus_ketC,0.00025332132402612026,26578,0.01788068477079358,-0.008368,0.185063,0.19343100000000002,0.00016892367465300262
fukui_minus_ketC,0.0004222022067102004,13798,0.00391675978097068,-0.01662,0.035917,0.052537,0.0004223805367048686
fukui_0_ketC,0.0004222022067102004,20796,0.00918715645578887,-0.011211,0.10045,0.111661,0.0002534283220229212
dual_ketC,0.0004222022067102004,26874,0.018235136069366064,-0.023718,0.184837,0.208555,0.0001971109171289387
fukui_plus_carbC,0.00025332132402612026,7151,0.0018217907182053181,-0.022402,0.035272,0.057673999999999996,0.0006193868070610096
fukui_minus_carbC,0.0004222022067102004,11704,0.0031433169944739318,-0.012826,0.044311,0.05713700000000001,0.0004505392391518599
fukui_0_carbC,0.0004222022067102004,8130,0.0019534034339388348,-0.014746,0.028708,0.043454,0.0006194914538338073
dual_carbC,0.0004222022067102004,12080,0.0033371003295075753,-0.032551,0.027754,0.060305,0.0003660631318108862
pa_ketO,0.005995271335284846,33861,12.902508339382392,11.4701,150.1129,138.6428,0.0001132663174288546
vbur_ketC,0.0,22070,5.519832612041917,52.397,96.7038,44.3068,0.00025332132402612026
vbur_carbC,0.0,21207,5.160395326996701,45.3643,96.0445,50.6802,0.00025332132402612026
sterimol_L,0.0,28621,2.4791505604927715,3.8981,26.1434,22.2453,0.00016888088268408017
sterimol_B1,0.0,17964,0.8581794367205268,1.8012,7.2721,5.4709,0.00045034902049088043
sterimol_B5,0.0,28980,2.546961632873995,4.639,26.2143,21.575300000000002,0.00016888088268408017
SASA_total,0.0,35380,157.62004472907265,394.0644,1561.5336,1167.4692,5.6293627561360054e-05
P_int,0.0,24773,1.2561940046745157,16.8017,26.3297,9.527999999999999,0.00022517451024544022
hb_dist,0.0,9990,0.7859046537320573,1.6398,4.3336,2.6937999999999995,0.0009006980409817609
hb_angle,0.0,31765,25.85019016709101,6.1819,131.6068,125.4249,0.00014073406890340013
dih_core,0.0,34772,74.65814229297594,-179.9885,179.9924,359.9809,8.444044134204009e-05
bde_gxtb_kcal,0.07056406214816482,23552,13.437739059435227,-183.421,111.719,295.14,0.0002119863117410133
product_MW,0.0,17966,135.92480225494282,228.267,998.912,770.645,0.00028146813780680026
product_LogP,0.0,22625,2.360351371444068,-9.3998,16.62748,26.027279999999998,0.00022517451024544022
product_TPSA,0.0,6960,45.08696347150253,37.3,441.02,403.71999999999997,0.01066764242287773
product_HBD,0.0,14,1.51770754350707,1.0,14.0,13.0,0.36436050439090295
product_HBA,0.0,21,2.5440310132616024,2.0,22.0,20.0,0.17175185768970952
product_RotBonds,0.0,29,3.5681697952593927,3.0,32.0,29.0,0.13262778653456428
product_ArRings,0.0,11,1.418599345408852,0.0,10.0,10.0,0.2912632290024769
product_ArHetRings,0.0,9,1.0796884282961476,0.0,8.0,8.0,0.3425748705246566
product_AlRings,0.0,12,1.109660327137807,0.0,14.0,14.0,0.4531355550551678
product_Rings,0.0,15,1.7277235563052438,0.0,16.0,16.0,0.23924791713578022
product_Heteroatoms,0.0,30,3.6121871455572676,2.0,31.0,29.0,0.11084215266831794
product_FractionCSP3,0.0,616,0.1516912826282184,0.025,0.954545,0.929545,0.027330556181040307
product_BertzCT,0.0,18776,511.02881874364584,253.209885,3646.520281,3393.310396,0.00016888088268408017
product_Kappa2,0.0,14896,3.2044942395480653,2.656013,28.931407,26.275394,0.00045034902049088043
product_NumStereocenters,0.0,16,1.7471499378151447,1.0,18.0,17.0,0.4194156721459131
product_n_CHO,0.0,3,0.0789998218870186,0.0,2.0,2.0,0.9941454627336186
donor_MW,0.0,15434,93.24868021463796,59.068,500.054,440.986,0.001125872551227201
donor_LogP,0.0,21268,1.6411769472025766,-6.6079,10.39392,17.00182,0.0008444044134204008
donor_TPSA,0.0,3266,31.07310391215429,17.07,289.75,272.68,0.07959918937176312
donor_HBD,0.0,12,1.049634793146305,0.0,11.0,11.0,0.6007374465210538
donor_HBA,0.0,15,1.743329250484308,1.0,16.0,15.0,0.26151204683629814
donor_RotBonds,0.0,23,2.461469531469215,1.0,23.0,22.0,0.205753208736771
donor_ArRings,0.0,8,0.9818193800960995,0.0,7.0,7.0,0.37778653456428735
donor_ArHetRings,0.0,5,0.7261479768491483,0.0,4.0,4.0,0.5108646701193424
donor_AlRings,0.0,10,0.7501008134893579,0.0,10.0,10.0,0.665812879981986
donor_Rings,0.0,11,1.195525842255456,0.0,11.0,11.0,0.34814793965323126
donor_Heteroatoms,0.0,20,2.4979666765400013,1.0,21.0,20.0,0.16508106282368837
donor_FractionCSP3,0.0,257,0.21392522133535768,0.0,0.916667,0.916667,0.08967574870524657
donor_BertzCT,0.0,22558,307.4329633894792,20.0,1938.097737,1918.097737,0.002420625985138482
donor_Kappa2,0.0,13514,2.2658646706250374,0.45664,22.376656,21.920016,0.0015480747579374014
donor_NumStereocenters,0.0,12,1.172595378811285,0.0,12.0,12.0,0.628687232605269
donor_n_CHO,0.0,3,0.054544267325194525,1.0,3.0,2.0,0.99710087818059
acceptor_MW,0.0,15444,93.60951410557648,59.068,500.054,440.986,0.0011540193650078812
acceptor_LogP,0.0,21227,1.6534542233867178,-6.6079,10.39392,17.00182,0.0009006980409817609
acceptor_TPSA,0.0,3266,31.42103734746459,17.07,289.75,272.68,0.0796273361855438
acceptor_HBD,0.0,12,1.0626856976972239,0.0,11.0,11.0,0.5980072055843279
acceptor_HBA,0.0,15,1.7584781963348235,1.0,16.0,15.0,0.2593165953614051
acceptor_RotBonds,0.0,23,2.467133009476815,1.0,23.0,22.0,0.20533100653006078
acceptor_ArRings,0.0,8,0.9857415555545984,0.0,7.0,7.0,0.3753940553929295
acceptor_ArHetRings,0.0,5,0.7274114509136063,0.0,4.0,4.0,0.5107802296780004
acceptor_AlRings,0.0,9,0.7499470771791394,0.0,8.0,8.0,0.6641240711551453
acceptor_Rings,0.0,10,1.199883857299941,0.0,9.0,9.0,0.34744426930871425
acceptor_Heteroatoms,0.0,20,2.511701018289755,1.0,21.0,20.0,0.16387074983111913
acceptor_FractionCSP3,0.0,255,0.2140192741694121,0.0,0.916667,0.916667,0.08945057419500113
acceptor_BertzCT,0.0,22567,308.78956974130693,20.0,1938.097737,1918.097737,0.0023924791713578024
acceptor_Kappa2,0.0,13534,2.2682906003470604,0.45664,22.376656,21.920016,0.0014917811303760415
acceptor_NumStereocenters,0.0,12,1.179763089642709,0.0,12.0,12.0,0.6255066426480522
acceptor_n_CHO,0.0,3,0.0563139998373992,1.0,3.0,2.0,0.9969882909254673
